,model,data_split,best_epoch,train_loss,val_loss,Val Accuracy,Val AUC,test_loss,Test Accuracy,Test AUC,Best thresholds,lr,weight_decay,dropout_patch,dropout_node,non_linearity,q_n,average,data
0,weights/abmil/20240130163101245018,1,5,0.0804,0.2603,0.9556,0.9673202614379085,0.297,0.9457,0.963265306122449,0.033184509724378586,0.001,1e-05,0.3,0.2,0,128,True,cam20xf3_dino_res50
1,weights/abmil/20240130163142929556,1,29,0.0373,0.3677,0.9222,0.9758672699849171,0.3612,0.8837,0.9362244897959183,0.8763830661773682,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf2_simclr_res50
2,weights/abmil/20240130163142314037,1,19,0.0677,0.0835,0.9778,0.9974861739567622,0.3193,0.8915,0.963265306122449,0.5350382924079895,0.0005,1e-05,0.3,0.2,0,128,True,cam20xf2_byol_res50
3,weights/abmil/20240130163101230283,1,22,0.1115,0.0607,0.9889,0.9989944695827049,0.2866,0.8605,0.9622448979591838,0.09883232414722443,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf2_byol_res50
4,weights/abmil/20240130163101251878,1,2,0.4151,0.1637,1.0,1.0,0.2824,0.9457,0.9760204081632653,0.23619914054870605,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf1_dino_res50
5,weights/abmil/20240130163101216880,1,20,0.0785,0.7496,0.9556,0.9808612440191387,0.7391,0.8295,0.875,0.9999618530273438,0.001,1e-05,0.3,0.2,0,128,True,cam20xf1_simclr_res50
6,weights/abmil/20240130163101305155,1,29,0.0575,0.3484,0.9556,0.975867269984917,0.442,0.8915,0.9400510204081632,0.25181296467781067,0.001,1e-05,0.3,0.2,0,128,True,cam20xf2_simclr_res50
7,weights/abmil/20240130163101304191,1,5,0.1722,0.1117,0.9667,0.9944695827048768,0.3196,0.8992,0.928826530612245,0.6582910418510437,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf2_simclr_res50
8,weights/abmil/20240130163142918125,1,26,0.1122,0.1244,0.9889,0.9984051036682615,0.3571,0.8837,0.9239795918367347,0.8274626731872559,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf1_byol_res50
9,weights/abmil/20240130163101192650,1,12,0.0812,0.4554,0.9,0.9120160884866768,0.6691,0.8372,0.8318877551020408,0.9726186394691467,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf3_simclr_res50
10,weights/abmil/20240130163101251942,1,3,0.1974,0.0977,1.0,1.0,0.1871,0.8915,0.9739795918367348,0.9075270891189575,0.0005,1e-05,0.3,0.2,0,128,True,cam20xf1_dino_res50
11,weights/abmil/20240130163142315573,1,21,0.0335,0.2773,0.9333,0.9663147310206134,0.178,0.907,0.9744897959183673,0.12755563855171204,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf3_dino_res50
12,weights/abmil/20240130163101202306,1,31,0.0349,0.634,0.8667,0.9180492709904475,0.9728,0.8062,0.831122448979592,0.5218206644058228,0.001,1e-05,0.3,0.2,0,128,True,cam20xf3_simclr_res50
13,weights/abmil/20240130163101280059,1,25,0.0927,0.3226,0.9444,0.9602815485168426,0.3957,0.9225,0.9645408163265307,0.9776707887649536,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf3_byol_res50
14,weights/abmil/20240130163101237729,1,9,0.0649,0.2064,0.9889,0.9994972347913524,0.4021,0.907,0.9739795918367348,0.8393654227256775,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf2_dino_res50
15,weights/abmil/20240130163101245180,1,7,0.0493,0.2056,0.9444,0.9668174962292609,0.1269,0.9225,0.9895408163265306,0.9129003286361694,0.0005,1e-05,0.3,0.2,0,128,True,cam20xf3_dino_res50
16,weights/abmil/20240130163101266837,1,15,0.118,0.2676,0.9778,0.997873471557682,0.3272,0.9147,0.9676020408163265,0.9090574979782104,0.001,1e-05,0.3,0.2,0,128,True,cam20xf1_byol_res50
17,weights/abmil/20240130163142323321,1,4,0.2086,0.1215,0.9778,0.9973418394471026,0.3213,0.907,0.9397959183673469,0.07446661591529846,0.0005,1e-05,0.3,0.2,0,128,True,cam20xf1_byol_res50
18,weights/abmil/20240130163142276765,1,2,0.3092,0.1737,1.0,1.0,0.23,0.969,0.9926020408163265,0.2723744213581085,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf2_dino_res50
19,weights/abmil/20240130163142946875,1,12,0.0379,0.3834,0.8889,0.909502262443439,0.4752,0.8915,0.8895408163265306,0.07012323290109634,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf3_simclr_res50
20,weights/abmil/20240130163101251989,1,4,0.1904,0.052,1.0,1.0,0.2023,0.9225,0.9625,0.6956232190132141,0.001,1e-05,0.3,0.2,0,128,True,cam20xf1_dino_res50
21,weights/abmil/20240130163142299530,1,3,0.2663,0.1346,1.0,1.0,0.2297,0.9225,0.9704081632653061,0.4979669749736786,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf1_dino_res50
22,weights/abmil/20240130163101245074,1,4,0.0955,0.1817,0.9667,0.9673202614379084,0.2353,0.9302,0.9540816326530611,0.30524107813835144,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf3_dino_res50
23,weights/abmil/20240130163101237717,1,2,0.46,0.1216,1.0,1.0,0.2567,0.9147,0.9642857142857142,0.7919610142707825,0.0005,1e-05,0.3,0.2,0,128,True,cam20xf2_dino_res50
24,weights/abmil/20240130163101230278,1,20,0.1472,0.149,0.9778,0.9949723479135244,0.4229,0.876,0.9363520408163265,0.5389775633811951,0.001,1e-05,0.3,0.2,0,128,True,cam20xf2_byol_res50
25,weights/abmil/20240130163101266803,1,10,0.094,0.0716,0.9889,0.9984051036682615,0.2911,0.907,0.9507653061224489,0.5666795372962952,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf1_byol_res50
26,weights/abmil/20240130163142925113,1,10,0.1147,0.1587,0.9556,0.9854198089492208,0.2839,0.876,0.940561224489796,0.21720047295093536,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf2_byol_res50
27,weights/abmil/20240130163142942080,1,26,0.0181,0.2517,0.9333,0.9557566616390146,0.3787,0.907,0.9579081632653061,0.3592624068260193,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf3_byol_res50
28,weights/abmil/20240130163101216718,1,19,0.1069,0.1375,0.9444,0.9936204146730462,0.4886,0.845,0.8469387755102041,0.1997928023338318,0.0005,1e-05,0.3,0.2,0,128,True,cam20xf1_simclr_res50
29,weights/abmil/20240130163101237894,1,5,0.15,0.079,1.0,1.0,0.2563,0.907,0.9257653061224489,0.5161973237991333,0.001,1e-05,0.3,0.2,0,128,True,cam20xf2_dino_res50
30,weights/abmil/20240130163101216887,1,2,0.3452,0.2467,0.9333,0.9782030834662414,0.3924,0.8217,0.8823979591836735,0.7069326639175415,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf1_simclr_res50
31,weights/abmil/20240130163142315403,1,31,0.0089,0.3392,0.9444,0.9577677224736048,0.4372,0.8992,0.9676020408163265,0.816574215888977,0.0005,1e-05,0.3,0.2,0,128,True,cam20xf3_byol_res50
32,weights/abmil/20240130163101192607,1,17,0.0126,0.5594,0.8889,0.9230769230769231,0.8865,0.8372,0.8357142857142857,0.0758490189909935,0.0005,1e-05,0.3,0.2,0,128,True,cam20xf3_simclr_res50
33,weights/abmil/20240130163101280007,1,9,0.0282,0.3589,0.9222,0.9567621920563097,0.3953,0.8992,0.9650510204081633,0.9822677969932556,0.001,1e-05,0.3,0.2,0,128,True,cam20xf3_byol_res50
