,model,data_split,best_epoch,train_loss,val_loss,Val Accuracy,Val AUC,test_loss,Test Accuracy,Test AUC,Best thresholds,lr,weight_decay,dropout_patch,dropout_node,non_linearity,q_n,average,data
0,weights/attenmil/20240118175251345538,1,1,0.4027,0.2227,0.9667,0.9718451483157365,0.1986,0.9612,0.9803571428571428,0.5601764917373657,0.001,1e-05,0.3,0.2,0,128,True,cam20xf3_dino_res50
1,weights/attenmil/20240118182913303777,1,27,0.1497,0.159,0.9556,0.9738562091503267,0.2872,0.8992,0.9474489795918367,0.6334588527679443,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf2_simclr_res50
2,weights/attenmil/20240129173613366114,1,2,0.4979,0.261,0.9111,0.931121166415284,0.4745,0.7984,0.8209183673469387,0.5707719326019287,0.0005,1e-05,0.3,0.2,0,128,True,cam20xf2_byol_res50
3,weights/attenmil/20240129173603498642,1,1,0.732,0.7655,0.4778,0.4776269482151836,0.7095,0.3643,0.45612244897959187,0.5540486574172974,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf2_byol_res50
4,weights/attenmil/20240118175229446390,1,1,0.4654,0.1083,1.0,1.0,0.2345,0.9225,0.9607142857142857,0.6098621487617493,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf1_dino_res50
5,weights/attenmil/20240118175251357354,1,4,0.2507,0.2112,0.9556,0.9654439128123339,0.389,0.845,0.9094387755102041,0.7136846780776978,0.001,1e-05,0.3,0.2,0,128,True,cam20xf1_simclr_res50
6,weights/attenmil/20240118175251357274,1,4,0.2444,0.199,0.9556,0.9849170437405732,0.4674,0.8992,0.9132653061224489,0.5400064587593079,0.001,1e-05,0.3,0.2,0,128,True,cam20xf2_simclr_res50
7,weights/attenmil/20240118175229436416,1,3,0.2345,0.1598,0.9556,0.9844142785319256,0.3613,0.8992,0.9283163265306121,0.5836349725723267,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf2_simclr_res50
8,weights/attenmil/20240118182913371535,1,27,0.155,0.0979,0.9778,0.9952153110047847,0.2747,0.907,0.9408163265306122,0.6105493307113647,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf1_byol_res50
9,weights/attenmil/20240118175229327862,1,3,0.2024,0.4003,0.9,0.9069884364002011,0.482,0.876,0.9020408163265307,0.5905007123947144,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf3_simclr_res50
10,weights/attenmil/20240118175229446399,1,2,0.1912,0.0793,1.0,1.0,0.1608,0.969,0.9752551020408162,0.620925784111023,0.0005,1e-05,0.3,0.2,0,128,True,cam20xf1_dino_res50
11,weights/attenmil/20240118175957977357,1,14,0.0388,0.1955,0.9556,0.9698340874811462,0.1367,0.969,0.9872448979591837,0.6012409925460815,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf3_dino_res50
12,weights/attenmil/20240118175251381618,1,2,0.2618,0.3446,0.8778,0.9034690799396682,0.4041,0.8372,0.8765306122448979,0.5786045789718628,0.001,1e-05,0.3,0.2,0,128,True,cam20xf3_simclr_res50
13,weights/attenmil/20240129173603491405,1,1,0.5202,0.3943,0.9111,0.894419306184012,0.4014,0.8605,0.8961734693877551,0.5622936487197876,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf3_byol_res50
14,weights/attenmil/20240118175229398222,1,2,0.2067,0.0547,1.0,1.0,0.165,0.9612,0.9698979591836734,0.5298486948013306,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf2_dino_res50
15,weights/attenmil/20240118175229390541,1,2,0.0918,0.1717,0.9556,0.9673202614379085,0.1367,0.9612,0.9841836734693877,0.5851547122001648,0.0005,1e-05,0.3,0.2,0,128,True,cam20xf3_dino_res50
16,weights/attenmil/20240118175229426696,1,4,0.1421,0.1114,0.9778,0.996810207336523,0.4693,0.907,0.9441326530612245,0.5165600776672363,0.001,1e-05,0.3,0.2,0,128,True,cam20xf1_byol_res50
17,weights/attenmil/20240118175958008214,1,10,0.1541,0.0723,0.9778,0.9978734715576821,0.3003,0.907,0.9632653061224489,0.5498554110527039,0.0005,1e-05,0.3,0.2,0,128,True,cam20xf1_byol_res50
18,weights/attenmil/20240118175958003835,1,16,0.062,0.0526,0.9889,0.9994972347913524,0.1586,0.938,0.9785714285714285,0.5248278379440308,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf2_dino_res50
19,weights/attenmil/20240118182913320166,1,23,0.1746,0.3981,0.8667,0.9054801407742585,0.4833,0.8295,0.8813775510204082,0.5434063673019409,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf3_simclr_res50
20,weights/attenmil/20240118175251364355,1,2,0.212,0.0536,1.0,1.0,0.1092,0.9767,0.9880102040816325,0.6556012034416199,0.001,1e-05,0.3,0.2,0,128,True,cam20xf1_dino_res50
