,model,data_split,best_epoch,train_loss,val_loss,Val Accuracy,Val AUC,test_loss,Test Accuracy,Test AUC,alpha,Best thresholds,lr,weight_decay,dropout_patch,dropout_node,non_linearity,q_n,average,data
0,weights/automil/20240118183024870413,1,5,0.0534,0.2636,0.9778,0.9773755656108597,0.2549,0.9535,0.9813775510204082,1.0098,0.034944355487823486,0.001,1e-05,0.3,0.2,0,128,True,cam20xf3_dino_res50
1,weights/automil/20240118183307585468,1,28,0.1702,0.175,0.9556,0.976872800402212,0.3203,0.8915,0.9423469387755102,1.0389,0.5071025490760803,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf2_simclr_res50
2,weights/automil/20240129173603100329,1,22,0.1781,0.1096,0.9778,0.9969834087481148,0.2774,0.8837,0.9653061224489796,1.0420,0.2605549693107605,0.0005,1e-05,0.3,0.2,0,128,True,cam20xf2_byol_res50
3,weights/automil/20240129173603172757,1,25,0.1211,0.0924,0.9778,0.9979889391654098,0.2982,0.8682,0.957142857142857,1.0079,0.07274238765239716,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf2_byol_res50
4,weights/automil/20240118183022565569,1,2,0.213,0.1011,1.0,1.0,0.1687,0.938,0.9770408163265307,1.0196,0.9737464189529419,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf1_dino_res50
5,weights/automil/20240118183024904961,1,27,0.1405,0.1247,0.9667,0.9872408293460926,0.5448,0.876,0.9099489795918367,0.9807,0.7380306720733643,0.001,1e-05,0.3,0.2,0,128,True,cam20xf1_simclr_res50
6,weights/automil/20240118183024958006,1,5,0.1392,0.1084,0.9778,0.9969834087481148,0.3523,0.8915,0.9507653061224489,1.0462,0.35027480125427246,0.001,1e-05,0.3,0.2,0,128,True,cam20xf2_simclr_res50
7,weights/automil/20240118183110170046,1,18,0.1298,0.1759,0.9667,0.9949723479135244,0.4366,0.8605,0.9033163265306122,1.0551,0.04834965243935585,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf2_simclr_res50
8,weights/automil/20240118183308000262,1,24,0.2172,0.1424,0.9667,0.9797979797979799,0.3752,0.876,0.8783163265306123,1.0827,0.42646726965904236,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf1_byol_res50
9,weights/automil/20240118183110175551,1,2,0.3012,0.3244,0.8667,0.9225741578682756,0.3861,0.8372,0.8880102040816327,1.0136,0.2310415357351303,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf3_simclr_res50
10,weights/automil/20240118183108929144,1,2,0.2655,0.092,1.0,1.0,0.1877,0.9302,0.9714285714285714,1.0178,0.6639590263366699,0.0005,1e-05,0.3,0.2,0,128,True,cam20xf1_dino_res50
11,weights/automil/20240118183240112667,1,11,0.0707,0.2491,0.9556,0.9688285570638512,0.2494,0.9457,0.9829081632653062,1.0213,0.10300933569669724,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf3_dino_res50
12,weights/automil/20240118183024907494,1,21,0.099,0.5052,0.8889,0.9326294620412267,0.6209,0.8682,0.9117346938775509,1.0456,0.7801148891448975,0.001,1e-05,0.3,0.2,0,128,True,cam20xf3_simclr_res50
13,weights/automil/20240129173603163156,1,23,0.0279,0.4021,0.9333,0.955253896430367,0.4381,0.8992,0.9698979591836735,1.0455,0.9000294804573059,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf3_byol_res50
14,weights/automil/20240118183022533734,1,2,0.1974,0.0441,1.0,1.0,0.1178,0.969,0.9783163265306123,1.0199,0.45556458830833435,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf2_dino_res50
15,weights/automil/20240118183108906721,1,3,0.0681,0.2559,0.9667,0.9763700351935646,0.2558,0.9612,0.9834183673469388,1.0194,0.043047454208135605,0.0005,1e-05,0.3,0.2,0,128,True,cam20xf3_dino_res50
16,weights/automil/20240118183022593821,1,26,0.0469,0.1093,0.9778,0.9973418394471026,0.3841,0.907,0.9512755102040816,1.1054,0.8265734314918518,0.001,1e-05,0.3,0.2,0,128,True,cam20xf1_byol_res50
17,weights/automil/20240118183240379478,1,21,0.192,0.1319,0.9778,0.9962785752259437,0.3305,0.8992,0.9415816326530612,1.1125,0.9775661826133728,0.0005,1e-05,0.3,0.2,0,128,True,cam20xf1_byol_res50
18,weights/automil/20240118183240092505,1,23,0.0799,0.0337,1.0,1.0,0.1317,0.9612,0.9854591836734694,1.0304,0.09256065636873245,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf2_dino_res50
19,weights/automil/20240118183307601932,1,19,0.2013,0.3427,0.8889,0.9064856711915537,0.4258,0.8217,0.8943877551020408,1.0179,0.7453286647796631,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf3_simclr_res50
20,weights/automil/20240118183024863106,1,2,0.1983,0.0321,1.0,1.0,0.1229,0.9225,0.985204081632653,1.0194,0.9735585451126099,0.001,1e-05,0.3,0.2,0,128,True,cam20xf1_dino_res50
21,weights/automil/20240118183240429026,1,12,0.1595,0.045,1.0,1.0,0.171,0.9457,0.9801020408163265,1.0194,0.3705596625804901,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf1_dino_res50
22,weights/automil/20240118183022602622,1,29,0.0004,0.2695,0.9667,0.9778783308195074,0.2059,0.9612,0.9849489795918367,0.9163,0.7306711077690125,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf3_dino_res50
23,weights/automil/20240118183108864472,1,4,0.0892,0.0276,1.0,1.0,0.1243,0.9767,0.977295918367347,1.0283,0.35580140352249146,0.0005,1e-05,0.3,0.2,0,128,True,cam20xf2_dino_res50
24,weights/automil/20240129173603157389,1,16,0.1619,0.0894,0.9889,0.9989944695827049,0.2864,0.8915,0.960204081632653,1.0278,0.3851388692855835,0.001,1e-05,0.3,0.2,0,128,True,cam20xf2_byol_res50
25,weights/automil/20240118183110188257,1,30,0.0693,0.1063,0.9778,0.9968102073365231,0.4268,0.9147,0.9339285714285714,1.1377,0.8682813048362732,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf1_byol_res50
26,weights/automil/20240129173603082912,1,27,0.163,0.1636,0.9556,0.9743589743589743,0.2874,0.907,0.9561224489795919,1.0330,0.4229591488838196,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf2_byol_res50
27,weights/automil/20240129173603091937,1,28,0.0844,0.3351,0.9333,0.9321266968325793,0.3916,0.9147,0.9306122448979591,1.0466,0.22434133291244507,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf3_byol_res50
28,weights/automil/20240118183108882402,1,29,0.1347,0.1625,0.9667,0.9665071770334929,0.4094,0.876,0.9255102040816326,1.0432,0.751681923866272,0.0005,1e-05,0.3,0.2,0,128,True,cam20xf1_simclr_res50
29,weights/automil/20240118183024852876,1,4,0.1166,0.044,1.0,1.0,0.1989,0.9302,0.9788265306122449,1.0129,0.029660172760486603,0.001,1e-05,0.3,0.2,0,128,True,cam20xf2_dino_res50
