,model,data_split,best_epoch,train_loss,val_loss,Val Accuracy,Val AUC,test_loss,Test Accuracy,Test AUC,Best thresholds,lr,weight_decay,dropout_patch,dropout_node,non_linearity,q_n,average,data
0,weights/?/20240130163145161677,1,20,0.0852,0.1971,0.9667,0.9869281045751633,0.4268,0.9147,0.9303571428571429,0.5891452431678772,0.001,1e-05,0.3,0.2,0,128,True,cam20xf3_dino_res50
1,weights/?/20240130163145007779,1,2,0.2034,0.1347,0.9667,0.9939668174962293,0.359,0.8992,0.9168367346938776,0.1254435032606125,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf2_simclr_res50
2,weights/?/20240130163145175920,1,4,0.2624,0.0838,0.9889,0.9984917043740573,0.127,0.9457,0.9928571428571429,0.22583965957164764,0.0005,1e-05,0.3,0.2,0,128,True,cam20xf2_byol_res50
3,weights/?/20240130163145076965,1,16,0.1752,0.111,0.9889,0.9979889391654098,0.2038,0.938,0.9798469387755102,0.06586114317178726,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf2_byol_res50
4,weights/?/20240130163145078122,1,6,0.2008,0.1207,1.0,1.0,0.1843,0.938,0.9755102040816327,0.9186282157897949,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf1_dino_res50
5,weights/?/20240130163145132324,1,27,0.1745,0.1544,0.9667,0.9883040935672514,0.4816,0.8605,0.9012755102040817,0.6634081602096558,0.001,1e-05,0.3,0.2,0,128,True,cam20xf1_simclr_res50
6,weights/?/20240130163145129976,1,31,0.0454,0.1215,0.9778,0.9974861739567622,0.5857,0.876,0.9145408163265306,0.8266957998275757,0.001,1e-05,0.3,0.2,0,128,True,cam20xf2_simclr_res50
7,weights/?/20240130163145076935,1,10,0.1975,0.0899,0.9889,0.9974861739567622,0.3498,0.8605,0.9132653061224489,0.17470596730709076,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf2_simclr_res50
8,weights/?/20240130163145055907,1,23,0.066,0.0389,1.0,1.0,0.2483,0.907,0.9732142857142857,0.7057529091835022,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf1_byol_res50
9,weights/?/20240130163145076925,1,25,0.1583,0.6458,0.8889,0.939165409753645,0.4966,0.8837,0.926530612244898,0.9865818023681641,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf3_simclr_res50
10,weights/?/20240130163145002525,1,9,0.6984,0.6345,0.6222,0.6124401913875598,0.6899,0.5349,0.3923469387755102,0.33730262517929077,0.0005,1e-05,0.3,0.2,0,128,True,cam20xf1_dino_res50
11,weights/?/20240130163145120348,1,11,0.0112,0.1955,0.9778,0.971342383107089,0.1858,0.9535,0.9857142857142857,0.6866401433944702,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf3_dino_res50
12,weights/?/20240130163145130144,1,29,0.0795,0.4156,0.8778,0.939165409753645,0.4511,0.8682,0.9091836734693878,0.5727186799049377,0.001,1e-05,0.3,0.2,0,128,True,cam20xf3_simclr_res50
13,weights/?/20240130163145083472,1,33,0.0686,0.267,0.9556,0.975867269984917,0.4749,0.9225,0.9716836734693877,0.9953075051307678,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf3_byol_res50
14,weights/?/20240130163145078352,1,7,0.1106,0.0273,1.0,1.0,0.1323,0.9767,0.9900510204081632,0.22288867831230164,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf2_dino_res50
15,weights/?/20240130163145028241,1,31,0.3766,0.7571,0.6556,0.6721970839617899,0.9408,0.5814,0.46505102040816326,0.3258902430534363,0.0005,1e-05,0.3,0.2,0,128,True,cam20xf3_dino_res50
16,weights/?/20240130163145089520,1,3,0.2285,0.0571,1.0,1.0,0.2283,0.9302,0.9533163265306123,0.44877901673316956,0.001,1e-05,0.3,0.2,0,128,True,cam20xf1_byol_res50
17,weights/?/20240130163145141353,1,10,0.1871,0.0689,1.0,1.0,0.1996,0.9302,0.9770408163265306,0.339907705783844,0.0005,1e-05,0.3,0.2,0,128,True,cam20xf1_byol_res50
18,weights/?/20240130163145111864,1,2,0.1588,0.0374,1.0,1.0,0.1243,0.9767,0.9770408163265306,0.3049062192440033,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf2_dino_res50
19,weights/?/20240130163145045670,1,22,0.0041,0.5578,0.9111,0.9396681749622926,0.7036,0.8682,0.9262755102040816,0.17476490139961243,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf3_simclr_res50
