,model,data_split,best_epoch,train_loss,val_loss,Val Accuracy,Val AUC,test_loss,Test Accuracy,Test AUC,Best thresholds,lr,weight_decay,dropout_patch,dropout_node,non_linearity,q_n,average,data
0,weights/dsmil/20240118191344903793,1,30,0.192,0.2616,0.9667,0.9738562091503268,0.3709,0.907,0.9459183673469387,0.3979960083961487,0.001,1e-05,0.3,0.2,0,128,True,cam20xf3_dino_res50
1,weights/dsmil/20240118191904372052,1,35,0.3926,0.4748,0.8667,0.9205630970336852,0.5507,0.8295,0.8045918367346938,0.45004770159721375,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf2_simclr_res50
2,weights/dsmil/20240129174147295650,1,33,0.2788,0.2931,0.9333,0.974861739567622,0.3747,0.8372,0.9216836734693877,0.6898300647735596,0.0005,1e-05,0.3,0.2,0,128,True,cam20xf2_byol_res50
3,weights/dsmil/20240129174147314515,1,32,0.2185,0.1472,0.9778,0.9944695827048768,0.3043,0.8992,0.9428571428571427,0.5159841179847717,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf2_byol_res50
4,weights/dsmil/20240118191417857417,1,12,0.2097,0.0866,1.0,1.0,0.1664,0.938,0.9816326530612245,0.9538064002990723,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf1_dino_res50
5,weights/dsmil/20240118191344921152,1,33,0.4542,0.5363,0.9444,0.9202551834130781,0.8463,0.8295,0.8033163265306121,0.361316442489624,0.001,1e-05,0.3,0.2,0,128,True,cam20xf1_simclr_res50
6,weights/dsmil/20240118191344949882,1,30,0.202,0.2006,0.9667,0.9934640522875817,0.3558,0.8837,0.9132653061224489,0.5944108963012695,0.001,1e-05,0.3,0.2,0,128,True,cam20xf2_simclr_res50
7,weights/dsmil/20240118191508085225,1,31,0.1881,0.2484,0.9778,0.9899446958270487,0.4243,0.876,0.9107142857142856,0.4972374141216278,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf2_simclr_res50
8,weights/dsmil/20240118191904357505,1,32,0.1932,0.2702,0.9556,0.9787347155768208,0.4913,0.8682,0.9308673469387755,0.5585148930549622,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf1_byol_res50
9,weights/dsmil/20240118191508089507,1,29,0.2552,0.401,0.9,0.9029663147310206,0.462,0.8682,0.8676020408163264,0.4493885934352875,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf3_simclr_res50
10,weights/dsmil/20240118191708849490,1,11,0.1366,0.0922,1.0,1.0,0.3008,0.9612,0.9862244897959184,0.34607645869255066,0.0005,1e-05,0.3,0.2,0,128,True,cam20xf1_dino_res50
11,weights/dsmil/20240118191904351036,1,32,0.1355,0.2814,0.9444,0.9673202614379085,0.1525,0.969,0.9943877551020408,0.6446270942687988,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf3_dino_res50
12,weights/dsmil/20240118191344950335,1,17,0.4463,0.5127,0.9,0.910507792860734,0.562,0.8527,0.8701530612244898,0.6149373054504395,0.001,1e-05,0.3,0.2,0,128,True,cam20xf3_simclr_res50
13,weights/dsmil/20240129174147302230,1,10,0.1975,0.4332,0.9222,0.9648064353946706,0.3124,0.8992,0.9673469387755103,0.3873838186264038,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf3_byol_res50
14,weights/dsmil/20240118191417872823,1,7,0.303,0.2222,1.0,1.0,0.2815,0.9302,0.9599489795918367,0.4092506766319275,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf2_dino_res50
15,weights/dsmil/20240118191708829544,1,30,0.0951,0.2388,0.9778,0.9738562091503268,0.2497,0.9302,0.9767857142857144,0.4197053909301758,0.0005,1e-05,0.3,0.2,0,128,True,cam20xf3_dino_res50
16,weights/dsmil/20240118191417936670,1,23,0.1452,0.1493,0.9889,0.9984051036682615,0.4352,0.9225,0.9573979591836734,0.14294828474521637,0.001,1e-05,0.3,0.2,0,128,True,cam20xf1_byol_res50
17,weights/dsmil/20240118191904352409,1,5,0.4297,0.384,1.0,1.0,0.5217,0.907,0.8795918367346938,0.4963250756263733,0.0005,1e-05,0.3,0.2,0,128,True,cam20xf1_byol_res50
18,weights/dsmil/20240118191904349938,1,31,0.3446,0.4633,0.9111,0.9462041226747109,0.9033,0.8295,0.7655612244897959,0.5373087525367737,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf2_dino_res50
19,weights/dsmil/20240118191904338145,1,32,0.1774,0.5083,0.8667,0.9074912016088487,0.5472,0.845,0.8780612244897958,0.7188111543655396,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf3_simclr_res50
20,weights/dsmil/20240118191344879476,1,16,0.6392,0.6756,0.7333,0.6980329611908559,0.6808,0.5969,0.5599489795918366,0.45715653896331787,0.001,1e-05,0.3,0.2,0,128,True,cam20xf1_dino_res50
21,weights/dsmil/20240118191904365839,1,13,0.5999,0.7413,0.7444,0.7214247740563531,0.6966,0.6047,0.5127551020408163,0.5417690277099609,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf1_dino_res50
22,weights/dsmil/20240118191417872304,1,8,0.6418,0.6531,0.6778,0.6882855706385118,0.6757,0.5116,0.4589285714285714,0.4301459789276123,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf3_dino_res50
23,weights/dsmil/20240118191708842970,1,25,0.366,0.5532,0.9222,0.9301156359979889,0.6002,0.876,0.8551020408163266,0.4626067578792572,0.0005,1e-05,0.3,0.2,0,128,True,cam20xf2_dino_res50
24,weights/dsmil/20240129174147314486,1,27,0.1449,0.2032,0.9889,0.9964806435394671,0.2453,0.907,0.9650510204081633,0.3458872437477112,0.001,1e-05,0.3,0.2,0,128,True,cam20xf2_byol_res50
25,weights/dsmil/20240118191508013768,1,11,0.2388,0.1909,0.9667,0.9962785752259437,0.3852,0.9302,0.925765306122449,0.22245873510837555,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf1_byol_res50
26,weights/dsmil/20240129174147302162,1,28,0.3887,0.4125,0.9444,0.9839115133232781,0.5009,0.8295,0.9150510204081632,0.3195212781429291,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf2_byol_res50
27,weights/dsmil/20240129174147288244,1,20,0.3341,0.4559,0.9444,0.942684766214178,0.5459,0.9147,0.9285714285714286,0.6371193528175354,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf3_byol_res50
28,weights/dsmil/20240118191708839348,1,21,0.4389,0.4792,0.9222,0.9803296119085592,0.5906,0.845,0.875765306122449,0.5628182291984558,0.0005,1e-05,0.3,0.2,0,128,True,cam20xf1_simclr_res50
29,weights/dsmil/20240118191344881325,1,33,0.3043,0.4283,0.9556,0.9713423831070889,0.4987,0.8682,0.8854591836734693,0.535908579826355,0.001,1e-05,0.3,0.2,0,128,True,cam20xf2_dino_res50
30,weights/dsmil/20240118191508140144,1,17,0.4897,0.4337,0.9444,0.9654439128123339,0.5391,0.876,0.8619897959183673,0.48348167538642883,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf1_simclr_res50
31,weights/dsmil/20240129174147296908,1,12,0.3414,0.5737,0.9222,0.9457013574660634,0.6398,0.876,0.9232142857142857,0.5322202444076538,0.0005,1e-05,0.3,0.2,0,128,True,cam20xf3_byol_res50
32,weights/dsmil/20240118191708834388,1,30,0.5811,0.6897,0.6778,0.6847662141779789,0.6527,0.5969,0.633673469387755,0.4169684052467346,0.0005,1e-05,0.3,0.2,0,128,True,cam20xf3_simclr_res50
33,weights/dsmil/20240129174147302249,1,33,0.2262,1.3041,0.9111,0.9376571141277025,0.6359,0.8837,0.9096938775510204,0.5081413984298706,0.001,1e-05,0.3,0.2,0,128,True,cam20xf3_byol_res50
34,weights/dsmil/20240118191904346753,1,19,0.4257,0.5169,0.8778,0.9218500797448166,0.6024,0.814,0.839030612244898,0.6069446206092834,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf1_simclr_res50
35,weights/dsmil/20240118191708856702,1,15,0.13,0.1058,0.9889,0.9984917043740573,0.3451,0.8837,0.9086734693877552,0.7084828615188599,0.0005,1e-05,0.3,0.2,0,128,True,cam20xf2_simclr_res50
