,model,data_split,best_epoch,train_loss,val_loss,Val Accuracy,Val AUC,test_loss,Test Accuracy,Test AUC,alpha,Best thresholds,lr,weight_decay,dropout_patch,dropout_node,non_linearity,q_n,average,data
0,weights/lnpmil/20240118183510529878,1,21,0.6574,0.6232,0.9111,0.9557566616390147,0.6716,0.8837,0.9313775510204082,1.2849,0.6316562294960022,0.001,1e-05,0.3,0.2,0,128,True,cam20xf3_dino_res50
1,weights/lnpmil/20240118184017316131,1,27,0.6052,0.578,0.9222,0.9773755656108597,0.6322,0.814,0.8729591836734695,1.0715,0.5620355606079102,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf2_simclr_res50
2,weights/lnpmil/20240129174102775472,1,31,0.6021,0.5489,0.9556,0.9884364002011061,0.6156,0.8527,0.9081632653061225,1.3759,0.5886662602424622,0.0005,1e-05,0.3,0.2,0,128,True,cam20xf2_byol_res50
3,weights/lnpmil/20240129174102774675,1,33,0.617,0.5758,0.9444,0.9899446958270488,0.6407,0.845,0.8971938775510204,1.4784,0.6074219942092896,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf2_byol_res50
4,weights/lnpmil/20240118183515266802,1,15,0.6413,0.6451,1.0,1.0,0.6661,0.8605,0.9415816326530612,1.2459,0.6402551531791687,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf1_dino_res50
5,weights/lnpmil/20240118183510523979,1,22,0.6673,0.6545,0.9111,0.9548112706007443,0.6791,0.7907,0.7780612244897959,0.9734,0.6230278611183167,0.001,1e-05,0.3,0.2,0,128,True,cam20xf1_simclr_res50
6,weights/lnpmil/20240118183510532540,1,29,0.6675,0.6027,0.9444,0.9854198089492208,0.6645,0.7984,0.8670918367346938,1.0272,0.6143218874931335,0.001,1e-05,0.3,0.2,0,128,True,cam20xf2_simclr_res50
7,weights/lnpmil/20240118183556044505,1,20,0.6518,0.5879,0.9556,0.9854198089492207,0.6468,0.8295,0.889030612244898,1.1498,0.6161081194877625,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf2_simclr_res50
8,weights/lnpmil/20240118184017383812,1,29,0.5983,0.6244,0.9,0.960127591706539,0.6418,0.8217,0.8538265306122449,1.1105,0.5546236634254456,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf1_byol_res50
9,weights/lnpmil/20240118183556028854,1,4,0.6634,0.6308,0.8,0.8637506284565108,0.6512,0.7364,0.8188775510204082,1.0018,0.5600667595863342,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf3_simclr_res50
10,weights/lnpmil/20240118183556066153,1,5,0.6336,0.6403,1.0,1.0,0.6618,0.8605,0.9237244897959184,1.0682,0.5934436321258545,0.0005,1e-05,0.3,0.2,0,128,True,cam20xf1_dino_res50
11,weights/lnpmil/20240118183639229680,1,28,0.5906,0.6099,0.9111,0.9446958270487682,0.6355,0.8992,0.9538265306122449,1.1040,0.5634915232658386,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf3_dino_res50
12,weights/lnpmil/20240118183510524815,1,35,0.6504,0.6104,0.8444,0.8617395676219206,0.6385,0.8217,0.8410714285714286,1.1556,0.6235472559928894,0.001,1e-05,0.3,0.2,0,128,True,cam20xf3_simclr_res50
