,model,data_split,best_epoch,train_loss,val_loss,Val Accuracy,Val AUC,test_loss,Test Accuracy,Test AUC,Best thresholds,lr,weight_decay,dropout_patch,dropout_node,non_linearity,q_n,average,data
0,weights/maxmil/20240118185014842467,1,4,0.6888,0.6606,0.6444,0.6224233283056813,0.6613,0.5736,0.5081632653061224,0.5142810344696045,0.001,1e-05,0.3,0.2,0,128,True,cam20xf3_dino_res50
1,weights/maxmil/20240118185529347449,1,29,0.5968,0.7137,0.6333,0.555052790346908,0.7048,0.5969,0.4943877551020408,0.4751667380332947,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf2_simclr_res50
2,weights/maxmil/20240129174058311994,1,31,0.1825,0.1742,0.9556,0.972347913524384,0.3056,0.876,0.9469387755102041,0.3467687964439392,0.0005,1e-05,0.3,0.2,0,128,True,cam20xf2_byol_res50
3,weights/maxmil/20240129174058321093,1,19,0.6455,0.6604,0.6556,0.6757164404223228,0.6667,0.5349,0.5806122448979592,0.33006784319877625,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf2_byol_res50
4,weights/maxmil/20240118185336284599,1,2,0.2065,0.0505,1.0,1.0,0.1313,0.9457,0.9918367346938776,0.7671006321907043,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf1_dino_res50
5,weights/maxmil/20240118185014780857,1,31,0.211,0.2432,0.9444,0.9665071770334928,0.5075,0.8682,0.8681122448979592,0.7111480236053467,0.001,1e-05,0.3,0.2,0,128,True,cam20xf1_simclr_res50
6,weights/maxmil/20240118185014788263,1,34,0.3161,0.5268,0.9,0.8954248366013072,0.5857,0.8217,0.8099489795918368,0.9921033978462219,0.001,1e-05,0.3,0.2,0,128,True,cam20xf2_simclr_res50
7,weights/maxmil/20240118185339531072,1,1,0.7152,0.7383,0.6667,0.6556058320764203,0.724,0.6512,0.6,0.25245705246925354,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf2_simclr_res50
8,weights/maxmil/20240118185529373833,1,22,0.1989,0.1142,0.9778,0.9973418394471026,0.2525,0.9147,0.9596938775510204,0.4055991768836975,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf1_byol_res50
9,weights/maxmil/20240118185339538810,1,27,0.5672,0.7222,0.6778,0.6777275012569131,0.8257,0.5426,0.5293367346938775,0.5430786609649658,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf3_simclr_res50
10,weights/maxmil/20240118185443299278,1,18,0.6027,0.7479,0.7,0.6698564593301435,0.7481,0.5581,0.513265306122449,0.6459943056106567,0.0005,1e-05,0.3,0.2,0,128,True,cam20xf1_dino_res50
11,weights/maxmil/20240118185525296148,1,27,0.6158,0.6542,0.6667,0.6596279537456008,0.6418,0.6279,0.6295918367346939,0.4718397557735443,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf3_dino_res50
12,weights/maxmil/20240118185014834326,1,33,0.6159,0.6738,0.7,0.6923076923076924,0.7853,0.5116,0.4778061224489796,0.630196750164032,0.001,1e-05,0.3,0.2,0,128,True,cam20xf3_simclr_res50
13,weights/maxmil/20240129174058328458,1,4,0.0788,0.2113,0.9333,0.9592760180995475,0.2866,0.907,0.9551020408163265,0.5747918486595154,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf3_byol_res50
14,weights/maxmil/20240118185336272320,1,5,0.7036,0.6453,0.6667,0.6365007541478129,0.6643,0.5349,0.5051020408163266,0.42517760396003723,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf2_dino_res50
15,weights/maxmil/20240118185443278848,1,1,0.4013,0.2146,0.9667,0.97938662644545,0.2251,0.9457,0.9844387755102041,0.3645985722541809,0.0005,1e-05,0.3,0.2,0,128,True,cam20xf3_dino_res50
16,weights/maxmil/20240118185336242070,1,3,0.2143,0.0953,0.9778,0.997873471557682,0.2448,0.907,0.9545918367346939,0.3103261888027191,0.001,1e-05,0.3,0.2,0,128,True,cam20xf1_byol_res50
17,weights/maxmil/20240118185525360884,1,5,0.1468,0.0941,0.9889,0.9984051036682615,0.2748,0.8992,0.9573979591836734,0.1774660348892212,0.0005,1e-05,0.3,0.2,0,128,True,cam20xf1_byol_res50
