,model,data_split,best_epoch,train_loss,val_loss,Val Accuracy,Val AUC,test_loss,Test Accuracy,Test AUC,Best thresholds,lr,weight_decay,dropout_patch,dropout_node,non_linearity,q_n,average,data
0,weights/meanmil/20240118183941057783,1,29,0.313,0.7617,0.6667,0.6777275012569131,0.7143,0.7132,0.6948979591836734,0.47622251510620117,0.001,1e-05,0.3,0.2,0,128,True,cam20xf3_dino_res50
1,weights/meanmil/20240118184228902417,1,27,0.5415,0.6167,0.6778,0.7214680744092509,0.6564,0.5969,0.5770408163265307,0.3386000990867615,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf2_simclr_res50
2,weights/meanmil/20240129174058615531,1,29,0.4825,0.5951,0.7444,0.7631975867269986,0.6469,0.6047,0.6349489795918367,0.5003722310066223,0.0005,1e-05,0.3,0.2,0,128,True,cam20xf2_byol_res50
3,weights/meanmil/20240129174108559911,1,32,0.4543,0.6173,0.7667,0.7692307692307693,0.6692,0.6124,0.649234693877551,0.5788596272468567,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf2_byol_res50
4,weights/meanmil/20240118184018962607,1,30,0.3367,0.6777,0.6667,0.7304625199362041,0.7883,0.5659,0.5997448979591837,0.46050333976745605,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf1_dino_res50
5,weights/meanmil/20240118183941017397,1,34,0.3908,0.8176,0.6667,0.6900584795321638,0.7551,0.6124,0.6096938775510204,0.4922291040420532,0.001,1e-05,0.3,0.2,0,128,True,cam20xf1_simclr_res50
6,weights/meanmil/20240118183941030903,1,27,0.4429,0.7086,0.7444,0.7576671694318754,0.7527,0.6744,0.664795918367347,0.20863501727581024,0.001,1e-05,0.3,0.2,0,128,True,cam20xf2_simclr_res50
7,weights/meanmil/20240118184020291169,1,26,0.4549,0.6148,0.7556,0.7611865258924083,0.648,0.6899,0.6538265306122449,0.4498516023159027,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf2_simclr_res50
8,weights/meanmil/20240118184228963438,1,17,0.6153,0.646,0.7444,0.6927166400850612,0.6609,0.6279,0.5849489795918369,0.4885695278644562,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf1_byol_res50
9,weights/meanmil/20240118184020270013,1,21,0.4344,0.7022,0.6667,0.6596279537456008,0.6795,0.6512,0.6278061224489796,0.3417110741138458,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf3_simclr_res50
