,model,data_split,best_epoch,train_loss,val_loss,Val Accuracy,Val AUC,test_loss,Test Accuracy,Test AUC,alpha,Best thresholds,lr,weight_decay,dropout_patch,dropout_node,non_linearity,q_n,average,data
0,weights/mixmil/20240118184300477327,1,1,0.4583,0.2166,0.9444,0.9783810960281548,0.2034,0.9535,0.9836734693877551,1.0081,0.21366260945796967,0.001,1e-05,0.3,0.2,0,128,True,cam20xf3_dino_res50
1,weights/mixmil/20240118185009050308,1,23,0.1853,0.129,0.9778,0.9964806435394671,0.2785,0.8915,0.9405612244897961,1.0382,0.2588692009449005,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf2_simclr_res50
2,weights/mixmil/20240129174058130231,1,34,0.144,0.0786,0.9889,0.9974861739567622,0.2217,0.8992,0.9711734693877552,1.1231,0.25117987394332886,0.0005,1e-05,0.3,0.2,0,128,True,cam20xf2_byol_res50
3,weights/mixmil/20240129174058482072,1,27,0.1595,0.0721,0.9889,0.9979889391654098,0.1911,0.8992,0.9772959183673469,1.1139,0.252080500125885,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf2_byol_res50
4,weights/mixmil/20240118184531633381,1,3,0.2187,0.0804,1.0,1.0,0.1598,0.969,0.9928571428571428,1.0089,0.3020015060901642,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf1_dino_res50
5,weights/mixmil/20240118184300382588,1,10,0.2399,0.1429,0.9556,0.9898989898989898,0.3787,0.8605,0.9084183673469388,1.0740,0.7309287190437317,0.001,1e-05,0.3,0.2,0,128,True,cam20xf1_simclr_res50
6,weights/mixmil/20240118184300386171,1,19,0.1687,0.0837,0.9889,0.9979889391654098,0.3319,0.8837,0.9344387755102042,1.1107,0.40405380725860596,0.001,1e-05,0.3,0.2,0,128,True,cam20xf2_simclr_res50
7,weights/mixmil/20240118184648509274,1,7,0.1667,0.2089,0.9889,0.9969834087481146,0.3189,0.876,0.9403061224489796,1.0607,0.6912057995796204,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf2_simclr_res50
8,weights/mixmil/20240118185009025400,1,15,0.209,0.1505,0.9778,0.9973418394471026,0.2632,0.8992,0.9619897959183673,1.0603,0.2342030555009842,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf1_byol_res50
9,weights/mixmil/20240118184648468711,1,11,0.11,0.5261,0.8889,0.934640522875817,0.5511,0.8682,0.9295918367346938,1.0742,0.2767011821269989,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf3_simclr_res50
10,weights/mixmil/20240118184740448478,1,1,0.4638,0.1682,1.0,1.0,0.2965,0.9457,0.9823979591836736,1.0094,0.213790163397789,0.0005,1e-05,0.3,0.2,0,128,True,cam20xf1_dino_res50
11,weights/mixmil/20240118184740554176,1,6,0.2444,0.277,0.9556,0.9743589743589745,0.2633,0.9535,0.9874999999999999,1.0105,0.32413288950920105,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf3_dino_res50
12,weights/mixmil/20240118184300406075,1,29,0.1008,0.4289,0.8889,0.9301156359979889,0.3995,0.876,0.9272959183673469,1.1538,0.9132776856422424,0.001,1e-05,0.3,0.2,0,128,True,cam20xf3_simclr_res50
13,weights/mixmil/20240129174058573111,1,8,0.0519,0.2218,0.9222,0.9592760180995474,0.2481,0.9147,0.972704081632653,1.1020,0.665844738483429,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf3_byol_res50
14,weights/mixmil/20240118184531629496,1,1,0.4168,0.1247,1.0,1.0,0.1837,0.9612,0.9941326530612244,1.0124,0.2239992320537567,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf2_dino_res50
15,weights/mixmil/20240118184740434625,1,7,0.0524,0.1838,0.9556,0.9743589743589743,0.1279,0.9457,0.9829081632653061,1.0517,0.5731559991836548,0.0005,1e-05,0.3,0.2,0,128,True,cam20xf3_dino_res50
16,weights/mixmil/20240118184531560119,1,2,0.261,0.3577,1.0,1.0,0.4128,0.907,0.960969387755102,1.0696,0.768311083316803,0.001,1e-05,0.3,0.2,0,128,True,cam20xf1_byol_res50
17,weights/mixmil/20240118184740622014,1,9,0.1656,0.1157,0.9778,0.9973418394471026,0.2322,0.8992,0.9586734693877551,1.1321,0.4285682439804077,0.0005,1e-05,0.3,0.2,0,128,True,cam20xf1_byol_res50
18,weights/mixmil/20240118184740575073,1,12,0.1896,0.1343,1.0,1.0,0.2069,0.9302,0.9844387755102041,1.0142,0.3161942660808563,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf2_dino_res50
19,weights/mixmil/20240118185009075857,1,27,0.1688,0.331,0.8889,0.918552036199095,0.3564,0.8682,0.8987244897959185,1.0334,0.5602363348007202,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf3_simclr_res50
20,weights/mixmil/20240118184300450265,1,2,0.2514,0.0879,1.0,1.0,0.2144,0.9457,0.9823979591836736,1.0138,0.15034814178943634,0.001,1e-05,0.3,0.2,0,128,True,cam20xf1_dino_res50
