,model,data_split,best_epoch,train_loss,val_loss,Val Accuracy,Val AUC,test_loss,Test Accuracy,Test AUC,Best thresholds,lr,weight_decay,dropout_patch,dropout_node,non_linearity,q_n,average,data
0,weights/transmil/20240118190349446786,1,19,0.0021,0.2181,0.9667,0.9688285570638511,0.2121,0.969,0.9739795918367347,0.9880054593086243,0.001,1e-05,0.3,0.2,0,128,True,cam20xf3_dino_res50
1,weights/transmil/20240118191224458042,1,7,0.127,0.1652,0.9667,0.9959778783308195,0.3881,0.8992,0.9181122448979592,0.03629753738641739,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf2_simclr_res50
2,weights/transmil/20240129174147304337,1,1,0.6858,0.6794,0.5333,0.5696329813976873,0.7039,0.4574,0.4334183673469388,0.3072964549064636,0.0005,1e-05,0.3,0.2,0,128,True,cam20xf2_byol_res50
3,weights/transmil/20240129174154913701,1,21,0.1715,0.1013,1.0,1.0,0.2121,0.8992,0.9762755102040817,0.15507684648036957,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf2_byol_res50
4,weights/transmil/20240118190517308703,1,4,0.1658,0.3682,1.0,1.0,0.486,0.938,0.9869897959183673,0.9916349649429321,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf1_dino_res50
5,weights/transmil/20240118190349439833,1,9,0.146,0.2001,0.9778,0.9934640522875817,0.3835,0.8915,0.8946428571428571,0.07603396475315094,0.001,1e-05,0.3,0.2,0,128,True,cam20xf2_simclr_res50
6,weights/transmil/20240118190702351785,1,16,0.0337,0.0466,0.9889,0.9989944695827049,0.3504,0.907,0.9372448979591836,0.7443001866340637,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf2_simclr_res50
7,weights/transmil/20240118191224435585,1,4,0.2257,0.1033,1.0,1.0,0.3393,0.9225,0.9096938775510205,0.07191155105829239,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf1_byol_res50
8,weights/transmil/20240118190702359754,1,31,0.0122,0.5415,0.9,0.9416792357968828,0.6312,0.8915,0.9010204081632653,0.9177701473236084,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf3_simclr_res50
9,weights/transmil/20240118190911784479,1,17,0.0579,0.2369,0.9667,0.9648064353946707,0.246,0.9457,0.9584183673469389,0.13548167049884796,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf3_dino_res50
10,weights/transmil/20240118190349405413,1,35,0.005,0.4885,0.9,0.9361488185017597,0.6088,0.876,0.9221938775510203,0.5523654818534851,0.001,1e-05,0.3,0.2,0,128,True,cam20xf3_simclr_res50
11,weights/transmil/20240129174154914281,1,18,0.1759,0.2572,0.9111,0.9567621920563097,0.1706,0.938,0.9811224489795918,0.2605927288532257,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf3_byol_res50
12,weights/transmil/20240118190517225472,1,7,0.1458,0.0617,1.0,1.0,0.1882,0.9767,0.9591836734693878,0.9726594686508179,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf2_dino_res50
13,weights/transmil/20240118190702333152,1,29,0.0766,0.1785,0.9667,0.9829059829059829,0.1678,0.938,0.9869897959183673,0.9829379916191101,0.0005,1e-05,0.3,0.2,0,128,True,cam20xf3_dino_res50
14,weights/transmil/20240118190517235871,1,22,0.103,0.0628,1.0,1.0,0.267,0.907,0.9489795918367347,0.7473654747009277,0.001,1e-05,0.3,0.2,0,128,True,cam20xf1_byol_res50
15,weights/transmil/20240118190911761609,1,8,0.1585,0.1172,0.9889,0.9984051036682615,0.2791,0.907,0.9086734693877552,0.49475204944610596,0.0005,1e-05,0.3,0.2,0,128,True,cam20xf1_byol_res50
16,weights/transmil/20240118190911744785,1,4,0.1188,0.0567,1.0,1.0,0.1328,0.9535,0.975,0.03232887387275696,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf2_dino_res50
17,weights/transmil/20240118191224425652,1,16,0.1538,0.2873,0.9111,0.9421820010055304,0.3184,0.8682,0.9168367346938776,0.7507487535476685,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf3_simclr_res50
18,weights/transmil/20240118190911792761,1,1,0.7243,0.6693,0.7222,0.5975544922913344,0.6702,0.6977,0.6823979591836735,0.2875416874885559,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf1_dino_res50
19,weights/transmil/20240118190517256091,1,23,0.0553,0.2173,0.9556,0.9829059829059829,0.2473,0.9302,0.9670918367346938,0.6757790446281433,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf3_dino_res50
20,weights/transmil/20240129174154897178,1,33,0.0819,0.0776,0.9778,0.9984917043740573,0.2994,0.8992,0.9357142857142857,0.10450128465890884,0.001,1e-05,0.3,0.2,0,128,True,cam20xf2_byol_res50
21,weights/transmil/20240129174147306698,1,8,0.1537,0.1079,0.9778,0.9964806435394671,0.2155,0.9147,0.957908163265306,0.16638678312301636,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf2_byol_res50
22,weights/transmil/20240118190702336089,1,10,0.2263,0.161,0.9778,0.9936204146730463,0.4329,0.8605,0.8729591836734695,0.8852714896202087,0.0005,1e-05,0.3,0.2,0,128,True,cam20xf1_simclr_res50
23,weights/transmil/20240118190349391252,1,4,0.2029,0.0468,1.0,1.0,0.1538,0.9457,0.9545918367346938,0.2821815609931946,0.001,1e-05,0.3,0.2,0,128,True,cam20xf2_dino_res50
24,weights/transmil/20240118190702336015,1,29,0.0848,0.1291,0.9667,0.9957469431153643,0.4085,0.876,0.9224489795918368,0.30718937516212463,0.0008,1e-05,0.3,0.2,0,128,True,cam20xf1_simclr_res50
25,weights/transmil/20240129174147317491,1,37,0.1273,0.4067,0.9111,0.963298139768728,0.3366,0.9225,0.9602040816326529,0.6348602771759033,0.0005,1e-05,0.3,0.2,0,128,True,cam20xf3_byol_res50
26,weights/transmil/20240118190702359314,1,18,0.1073,0.4719,0.8778,0.9255907491201609,0.5607,0.8527,0.8775510204081634,0.7947751879692078,0.0005,1e-05,0.3,0.2,0,128,True,cam20xf3_simclr_res50
27,weights/transmil/20240118191224418865,1,18,0.1382,0.1228,0.9556,0.9888357256778308,0.5094,0.8605,0.8739795918367346,0.37047234177589417,0.0001,1e-05,0.3,0.2,0,128,True,cam20xf1_simclr_res50
28,weights/transmil/20240118190702351774,1,32,0.0571,0.091,0.9889,0.9974861739567622,0.3793,0.8915,0.9267857142857143,0.2596127688884735,0.0005,1e-05,0.3,0.2,0,128,True,cam20xf2_simclr_res50
