,model,data_split,best_epoch,train_loss,val_loss,Val Accuracy,Val AUC,test_loss,Test Accuracy,Test AUC,Best thresholds,lr,weight_decay,dropout_patch,dropout_node,non_linearity,q_n,average,data
0,weights/abmil/20240217072555000367,1,16,0.668,0.6675,0.9195,0.9583333333333334,0.6677,0.8806,0.9509318001586042,0.512140154838562,0.0001,1e-05,0.2,0.2,0,128,True,tcga_mocov3_vit
1,weights/abmil/20240217073309314288,1,19,0.4018,0.468,0.8188,0.8616522366522367,0.5092,0.791,0.8369349722442506,0.39228755235671997,0.001,1e-05,0.2,0.2,0,128,True,tcga_mae_vit
2,weights/abmil/20240217073140372599,1,18,0.1486,0.3861,0.9128,0.9558080808080808,0.4581,0.9104,0.9472640761300555,0.8969284892082214,0.001,1e-05,0.2,0.2,0,128,True,tcga_mocov3_res
3,weights/abmil/20240222094830252969,1,20,0.1557,0.3735,0.8993,0.9536435786435786,0.4591,0.8905,0.9416137985725614,0.05989757180213928,0.0001,1e-05,0.2,0.2,0,128,True,tcga_simclr_res
4,weights/abmil/20240217072555030312,1,48,0.1707,0.3137,0.9262,0.9494949494949495,0.3698,0.9005,0.945975416336241,0.17467978596687317,0.0001,1e-05,0.2,0.2,0,128,True,tcga_mocov3_res
5,weights/abmil/20240217072555022010,1,9,0.2863,0.4006,0.8792,0.9152236652236653,0.381,0.8507,0.91703013481364,0.5118270516395569,0.0001,1e-05,0.2,0.2,0,128,True,tcga_barlow_vit
6,weights/abmil/20240217073140394412,1,85,0.0066,0.5184,0.9262,0.9711399711399712,0.9663,0.8607,0.9405729579698653,0.8332802653312683,0.001,1e-05,0.2,0.2,0,128,True,tcga_dino_vit
7,weights/abmil/20240217073140340801,1,3,0.2305,0.3468,0.8926,0.9522005772005773,0.3613,0.8806,0.9521213322759715,0.496957391500473,0.001,1e-05,0.2,0.2,0,128,True,tcga_dino_res
8,weights/abmil/20240217073309352265,1,3,0.1752,0.3169,0.906,0.9633838383838385,0.352,0.8905,0.9545003965107057,0.19661907851696014,0.001,1e-05,0.2,0.2,0,128,True,tcga_barlow_res
9,weights/abmil/20240217073309330361,1,41,0.4871,0.4996,0.8792,0.9330808080808081,0.4829,0.8806,0.917823156225218,0.47920170426368713,1e-05,1e-05,0.2,0.2,0,128,True,tcga_mocov3_res
10,weights/abmil/20240217072555034242,1,16,0.1713,0.3446,0.906,0.9343434343434343,0.3487,0.8756,0.9546986518636003,0.26373881101608276,0.0001,1e-05,0.2,0.2,0,128,True,tcga_barlow_res
11,weights/abmil/20240217073140357041,1,21,0.0195,1.1367,0.8523,0.8944805194805193,1.0758,0.8756,0.9007731958762886,0.030133340507745743,0.001,1e-05,0.2,0.2,0,128,True,tcga_barlow_vit
12,weights/abmil/20240217073123152438,1,16,0.2282,0.4186,0.8658,0.9209956709956709,0.6026,0.796,0.8828310864393338,0.3066794276237488,0.0001,1e-05,0.2,0.2,0,128,True,tcga_imagenet_vit
13,weights/abmil/20240217073309354712,1,57,0.1272,0.6038,0.8993,0.951118326118326,0.6231,0.8905,0.9381443298969072,0.6330156922340393,0.001,1e-05,0.2,0.2,0,128,True,tcga_byol_res
14,weights/abmil/20240217073123145554,1,88,0.5758,0.6458,0.6779,0.6957070707070708,0.6363,0.6866,0.728588421887391,0.45646485686302185,0.0001,1e-05,0.2,0.2,0,128,True,tcga_byol_vit
15,weights/abmil/20240217073309331331,1,10,0.3327,0.418,0.8523,0.9110750360750361,0.5374,0.806,0.8805511498810468,0.238481342792511,0.001,1e-05,0.2,0.2,0,128,True,tcga_imagenet_res
16,weights/abmil/20240217073309326836,1,145,0.6831,0.6837,0.9128,0.9413780663780663,0.6839,0.8507,0.9441911181601902,0.5143193602561951,1e-05,1e-05,0.2,0.2,0,128,True,tcga_mocov3_vit
17,weights/abmil/20240217072555028642,1,5,0.3018,0.32,0.8792,0.9424603174603174,0.3373,0.8806,0.9258524980174464,0.48622462153434753,0.0001,1e-05,0.2,0.2,0,128,True,tcga_dino_vit
18,weights/abmil/20240217073309298828,1,149,0.2249,0.6197,0.8389,0.8787878787878788,0.5471,0.806,0.8879857256145917,0.9619942307472229,1e-05,1e-05,0.2,0.2,0,128,True,tcga_dino_res
19,weights/abmil/20240217073123143827,1,79,0.1311,0.6366,0.8725,0.9011544011544012,1.0016,0.7612,0.8398096748612212,0.5441747307777405,0.0001,1e-05,0.2,0.2,0,128,True,tcga_imagenet_res
20,weights/abmil/20240217073309321414,1,68,0.5222,0.6255,0.7383,0.8005050505050505,0.8231,0.6766,0.7321570182394925,0.6335016489028931,0.001,1e-05,0.2,0.2,0,128,True,tcga_byol_vit
21,weights/abmil/20240217073123137977,1,6,0.4998,0.4817,0.8926,0.953102453102453,0.4987,0.8706,0.9368556701030928,0.5003101229667664,0.0001,1e-05,0.2,0.2,0,128,True,tcga_byol_res
