,model,data_split,best_epoch,train_loss,val_loss,Val Accuracy,Val AUC,test_loss,Test Accuracy,Test AUC,Best thresholds,lr,weight_decay,dropout_patch,dropout_node,non_linearity,q_n,average,data
17,weights/attenmil/20240217055354639970,1,97,0.521,0.555,0.8993,0.95508658008658,0.5473,0.9055,0.970360824742268,0.577396988868713,0.0001,1E-05,0.2,0.2,0,128,True,tcga_dino_vit
26,weights/attenmil/20240217055408025999,1,99,0.5857,0.598,0.906,0.935966810966811,0.5895,0.9055,0.969369547977795,0.580657720565796,1E-05,1E-05,0.2,0.2,0,128,True,tcga_dino_vit
6,weights/attenmil/20240217055408107992,1,26,0.5038,0.5493,0.906,0.95434126984127,0.5469,0.8806,0.967882632831086,0.685729146003723,0.001,1E-05,0.2,0.2,0,128,True,tcga_dino_vit
8,weights/attenmil/20240217055408048897,1,14,0.5231,0.5449,0.9262,0.976551226551227,0.5417,0.9055,0.967684377478192,0.653576076030731,0.001,1E-05,0.2,0.2,0,128,True,tcga_barlow_res
3,weights/attenmil/20240222094830268382,1,15,0.5428,0.5512,0.906,0.963383838383838,0.5513,0.8905,0.965800951625694,0.607032537460327,0.0001,1E-05,0.2,0.2,0,128,True,tcga_simclr_res
10,weights/attenmil/20240217055354633956,1,86,0.5345,0.5541,0.9128,0.964285714285714,0.55,0.8905,0.962034099920698,0.594655811786652,0.0001,1E-05,0.2,0.2,0,128,True,tcga_barlow_res
2,weights/attenmil/20240217055408050619,1,3,0.5818,0.5747,0.8993,0.958513708513708,0.5711,0.8905,0.959952418715305,0.561154842376709,0.001,1E-05,0.2,0.2,0,128,True,tcga_mocov3_res
13,weights/attenmil/20240217055408082551,1,45,0.5339,0.5497,0.9128,0.965367965367965,0.5537,0.8905,0.958762886597938,0.635256350040436,0.001,1E-05,0.2,0.2,0,128,True,tcga_byol_res
22,weights/attenmil/20240217055408118525,1,91,0.6248,0.6295,0.9329,0.957431457431457,0.632,0.8955,0.957573354480571,0.582834541797638,0.001,1E-05,0.2,0.2,0,128,True,tcga_mocov3_vit
7,weights/attenmil/20240217055408043040,1,24,0.5201,0.5532,0.9128,0.954365079365079,0.5532,0.8955,0.956681205392546,0.592725515365601,0.001,1E-05,0.2,0.2,0,128,True,tcga_dino_res
29,weights/attenmil/20240222094830265243,1,1,0.61,0.5551,0.9195,0.972582972582973,0.5619,0.8756,0.95578905630452,0.542891085147858,0.001,1E-05,0.2,0.2,0,128,True,tcga_simclr_res
21,weights/attenmil/20240217055354626017,1,23,0.6144,0.6156,0.9195,0.962842712842713,0.6139,0.8756,0.952716098334655,0.590868473052979,0.0001,1E-05,0.2,0.2,0,128,True,tcga_byol_res
4,weights/attenmil/20240217055354693894,1,18,0.6018,0.6012,0.9128,0.959776334776335,0.5992,0.8756,0.951130055511499,0.561591029167175,0.0001,1E-05,0.2,0.2,0,128,True,tcga_mocov3_res
24,weights/attenmil/20240217055354642241,1,79,0.5383,0.5632,0.8658,0.935966810966811,0.5577,0.8607,0.950832672482157,0.659112215042114,0.0001,1E-05,0.2,0.2,0,128,True,tcga_dino_res
9,weights/attenmil/20240217055407993349,1,84,0.6629,0.6631,0.8926,0.940295815295815,0.6608,0.8706,0.938639968279144,0.577670276165008,1E-05,1E-05,0.2,0.2,0,128,True,tcga_mocov3_res
0,weights/attenmil/20240217055354657786,1,87,0.6894,0.6893,0.8792,0.939574314574314,0.6896,0.8806,0.925455987311658,0.543607234954834,0.0001,1E-05,0.2,0.2,0,128,True,tcga_mocov3_vit
18,weights/attenmil/20240217055407979810,1,84,0.5763,0.5843,0.8658,0.909451659451659,0.581,0.8507,0.922383029341792,0.572941899299622,1E-05,1E-05,0.2,0.2,0,128,True,tcga_dino_res
12,weights/attenmil/20240217055354628120,1,95,0.5577,0.5664,0.8792,0.931818181818182,0.5811,0.8458,0.914551942902458,0.629490852355957,0.0001,1E-05,0.2,0.2,0,128,True,tcga_imagenet_vit
27,weights/attenmil/20240217055408058017,1,5,0.5711,0.5715,0.8591,0.924062049062049,0.5857,0.8209,0.911776367961935,0.650434255599976,0.001,1E-05,0.2,0.2,0,128,True,tcga_imagenet_vit
11,weights/attenmil/20240217055408055634,1,3,0.5749,0.6074,0.8792,0.8997113997114,0.6026,0.8358,0.902557494052339,0.588911116123199,0.001,1E-05,0.2,0.2,0,128,True,tcga_barlow_vit
5,weights/attenmil/20240217055354613411,1,43,0.5398,0.6165,0.7987,0.839285714285714,0.5944,0.8159,0.894131641554322,0.539681077003479,0.0001,1E-05,0.2,0.2,0,128,True,tcga_barlow_vit
19,weights/attenmil/20240217055354648899,1,50,0.601,0.6135,0.8054,0.876443001443001,0.6085,0.8408,0.891851704996035,0.582514524459839,0.0001,1E-05,0.2,0.2,0,128,True,tcga_imagenet_res
15,weights/attenmil/20240217055408032840,1,17,0.5724,0.5841,0.8725,0.913600288600288,0.6085,0.796,0.861022997620936,0.601026952266693,0.001,1E-05,0.2,0.2,0,128,True,tcga_imagenet_res
1,weights/attenmil/20240217055408103372,1,88,0.6307,0.6427,0.7651,0.810606060606061,0.6395,0.791,0.853687549563838,0.580309331417084,0.001,1E-05,0.2,0.2,0,128,True,tcga_mae_vit
16,weights/attenmil/20240217055408025275,1,99,0.7036,0.7034,0.8121,0.861111111111111,0.7032,0.7562,0.836934972244251,0.593081176280975,1E-05,1E-05,0.2,0.2,0,128,True,tcga_mocov3_vit
25,weights/attenmil/20240217055408103409,1,99,0.6883,0.6887,0.6711,0.685425685425686,0.6891,0.6816,0.718675654242665,0.538780510425568,0.0001,1E-05,0.2,0.2,0,128,True,tcga_mae_vit
20,weights/attenmil/20240217055408075599,1,61,0.638,0.6502,0.651,0.66468253968254,0.6472,0.6368,0.67372125297383,0.571583926677704,0.001,1E-05,0.2,0.2,0,128,True,tcga_byol_vit
23,weights/attenmil/20240217055408022655,1,93,0.6351,0.6824,0.6242,0.619137806637807,0.6705,0.6119,0.64041435368755,0.507553279399872,0.001,1E-05,0.2,0.2,0,128,True,tcga_simclr_vit
14,weights/attenmil/20240217055354605451,1,94,0.6663,0.6685,0.604,0.608044733044733,0.6653,0.607,0.624405233941316,0.57454639673233,0.0001,1E-05,0.2,0.2,0,128,True,tcga_byol_vit
28,weights/attenmil/20240217055354666855,1,20,0.6918,0.6918,0.5973,0.59505772005772,0.6928,0.592,0.60071371927042,0.535977303981781,0.0001,1E-05,0.2,0.2,0,128,True,tcga_simclr_vit
