,model,data_split,best_epoch,train_loss,val_loss,Val Accuracy,Val AUC,test_loss,Test Accuracy,Test AUC,alpha,Best thresholds,lr,weight_decay,dropout_patch,dropout_node,non_linearity,q_n,average,data
0,weights/automil/20240217064558973650,1,63,0.6658,0.6673,0.8993,0.9484126984126984,0.6694,0.8557,0.9426050753370342,0.9712,0.5182532072067261,0.0001,1e-05,0.2,0.2,0,128,True,tcga_mocov3_vit
1,weights/automil/20240217065948364046,1,92,0.5692,0.6154,0.7047,0.7377344877344877,0.583,0.7363,0.8058088818398096,-1.1002,0.46443116664886475,0.001,1e-05,0.2,0.2,0,128,True,tcga_mae_vit
2,weights/automil/20240217064924206427,1,4,0.3125,0.3524,0.8725,0.9098124098124097,0.312,0.8507,0.944091990483743,1.2406,0.5576652884483337,0.001,1e-05,0.2,0.2,0,128,True,tcga_mocov3_res
3,weights/automil/20240222094830275666,1,5,0.3297,0.3587,0.8658,0.9309163059163059,0.3343,0.8557,0.9430015860428232,1.0210,0.5528789162635803,0.0001,1e-05,0.2,0.2,0,128,True,tcga_simclr_res
4,weights/automil/20240217064558974420,1,7,0.5715,0.5629,0.8591,0.9186507936507937,0.5544,0.8507,0.9234734337827122,1.0790,0.4924125373363495,0.0001,1e-05,0.2,0.2,0,128,True,tcga_mocov3_res
5,weights/automil/20240217064558986285,1,9,0.417,0.4804,0.8322,0.8676046176046176,0.4609,0.8458,0.9131641554321966,1.0562,0.4618450403213501,0.0001,1e-05,0.2,0.2,0,128,True,tcga_barlow_vit
6,weights/automil/20240217064924210864,1,8,0.1437,0.3547,0.8792,0.9255050505050505,0.2907,0.8607,0.9475614591593973,0.8989,0.8272548913955688,0.001,1e-05,0.2,0.2,0,128,True,tcga_dino_vit
7,weights/automil/20240217064924224800,1,4,0.2995,0.4143,0.8456,0.9143217893217894,0.3759,0.8358,0.9236716891356067,0.9908,0.7344003915786743,0.001,1e-05,0.2,0.2,0,128,True,tcga_dino_res
8,weights/automil/20240217065511702413,1,1,0.4903,0.3603,0.8792,0.9246031746031746,0.3604,0.8657,0.935071371927042,1.0436,0.48788365721702576,0.001,1e-05,0.2,0.2,0,128,True,tcga_barlow_res
9,weights/automil/20240217065948383903,1,99,0.5466,0.556,0.8792,0.887987012987013,0.5412,0.8806,0.92753766851705,1.0891,0.4907553493976593,1e-05,1e-05,0.2,0.2,0,128,True,tcga_mocov3_res
10,weights/automil/20240217064559001865,1,20,0.2542,0.3413,0.8725,0.9177489177489176,0.3179,0.8507,0.93695479777954,1.0712,0.6323033571243286,0.0001,1e-05,0.2,0.2,0,128,True,tcga_barlow_res
11,weights/automil/20240217064924253980,1,1,0.6471,0.494,0.8054,0.8616522366522366,0.4794,0.796,0.8972045995241872,1.0473,0.5273476243019104,0.001,1e-05,0.2,0.2,0,128,True,tcga_barlow_vit
12,weights/automil/20240217064558417150,1,19,0.4593,0.4548,0.8255,0.8814935064935064,0.5035,0.7512,0.8295995241871531,0.9873,0.6323824524879456,0.0001,1e-05,0.2,0.2,0,128,True,tcga_imagenet_vit
13,weights/automil/20240217065511742295,1,1,0.6693,0.6157,0.8859,0.9233405483405484,0.6186,0.8507,0.9115781126090404,1.0971,0.5004772543907166,0.001,1e-05,0.2,0.2,0,128,True,tcga_byol_res
14,weights/automil/20240217064558195147,1,59,0.6594,0.6675,0.6376,0.6447510822510822,0.6698,0.6368,0.6815027755749405,1.1820,0.49750930070877075,0.0001,1e-05,0.2,0.2,0,128,True,tcga_byol_vit
15,weights/automil/20240217065948366523,1,19,0.4361,0.628,0.7919,0.826118326118326,0.6519,0.7363,0.8274187153053132,0.9177,0.3790509104728699,0.001,1e-05,0.2,0.2,0,128,True,tcga_imagenet_res
16,weights/automil/20240217065948338406,1,99,0.6879,0.6881,0.8859,0.9206349206349207,0.6885,0.801,0.8888778747026169,0.8014,0.5147377848625183,1e-05,1e-05,0.2,0.2,0,128,True,tcga_mocov3_vit
17,weights/automil/20240217064559016337,1,65,0.1543,0.3791,0.8725,0.9116161616161615,0.2823,0.8806,0.9487509912767644,0.9822,0.6053215861320496,0.0001,1e-05,0.2,0.2,0,128,True,tcga_dino_vit
18,weights/automil/20240217065948312906,1,97,0.3355,0.3968,0.8658,0.8726551226551227,0.3676,0.8259,0.9114789849325932,1.0197,0.46189814805984497,1e-05,1e-05,0.2,0.2,0,128,True,tcga_dino_res
19,weights/automil/20240217064558220481,1,88,0.4904,0.5229,0.7785,0.8203463203463204,0.4957,0.7363,0.8396114195083267,0.9656,0.5961898565292358,0.0001,1e-05,0.2,0.2,0,128,True,tcga_imagenet_res
20,weights/automil/20240217065511789718,1,14,0.6776,0.7183,0.6779,0.7104978354978354,0.73,0.6766,0.7170896114195083,1.5326,0.6685999631881714,0.001,1e-05,0.2,0.2,0,128,True,tcga_byol_vit
21,weights/automil/20240217064558234059,1,20,0.5201,0.525,0.8658,0.9094516594516595,0.5295,0.8706,0.9221847739888976,1.2658,0.4641945958137512,0.0001,1e-05,0.2,0.2,0,128,True,tcga_byol_res
22,weights/automil/20240217064924296310,1,15,0.6129,0.6132,0.9128,0.9475108225108224,0.6186,0.8706,0.9478588421887391,1.7205,0.5188379287719727,0.001,1e-05,0.2,0.2,0,128,True,tcga_mocov3_vit
23,weights/automil/20240217065511748769,1,53,0.5673,0.7063,0.6577,0.6944444444444444,0.6822,0.6567,0.7277954004758128,-0.6671,0.3940860629081726,0.001,1e-05,0.2,0.2,0,128,True,tcga_simclr_vit
24,weights/automil/20240217064559042032,1,99,0.2625,0.471,0.8255,0.8941197691197691,0.3698,0.8507,0.9230769230769231,1.0024,0.7091085314750671,0.0001,1e-05,0.2,0.2,0,128,True,tcga_dino_res
25,weights/automil/20240217064924213025,1,99,0.6667,0.6715,0.6779,0.6883116883116882,0.6686,0.6866,0.7432593180015861,0.6584,0.505077600479126,0.0001,1e-05,0.2,0.2,0,128,True,tcga_mae_vit
26,weights/automil/20240217065948376159,1,98,0.3217,0.384,0.8725,0.8997113997113998,0.353,0.8756,0.9439928628072958,1.0277,0.4136344790458679,1e-05,1e-05,0.2,0.2,0,128,True,tcga_dino_vit
