,model,data_split,best_epoch,train_loss,val_loss,Val Accuracy,Val AUC,test_loss,Test Accuracy,Test AUC,Best thresholds,lr,weight_decay,dropout_patch,dropout_node,non_linearity,q_n,average,data
0,weights/clam/20240217073844781430,1,93,0.0565,0.4026,0.9262,0.9736652236652236,0.4908,0.9005,0.9527160983346551,0.9653361439704895,0.0001,1e-05,0.2,0.2,0,128,True,tcga_mocov3_vit
1,weights/clam/20240217074602930798,1,47,0.2118,0.5882,0.8725,0.9307359307359306,0.5021,0.8507,0.9359635210150674,0.2935291826725006,0.001,1e-05,0.2,0.2,0,128,True,tcga_mae_vit
2,weights/clam/20240217074456600480,1,18,0.1418,0.4729,0.9195,0.9628427128427128,0.4015,0.9005,0.9727398889770023,0.15145660936832428,0.001,1e-05,0.2,0.2,0,128,True,tcga_mocov3_res
3,weights/clam/20240222094830259449,1,1,0.3416,0.2448,0.9195,0.9680735930735931,0.263,0.8955,0.9627279936558286,0.3024342656135559,0.0001,1e-05,0.2,0.2,0,128,True,tcga_simclr_res
4,weights/clam/20240217073844808055,1,23,0.0978,0.6001,0.9128,0.9559884559884559,0.6018,0.9005,0.955293417922284,0.954810619354248,0.0001,1e-05,0.2,0.2,0,128,True,tcga_mocov3_res
5,weights/clam/20240217073844863507,1,4,0.1114,0.5379,0.8725,0.9334415584415584,0.5924,0.8756,0.930908009516257,0.03710663318634033,0.0001,1e-05,0.2,0.2,0,128,True,tcga_barlow_vit
6,weights/clam/20240217074456546886,1,3,0.1072,0.4449,0.9329,0.9682539682539683,0.2993,0.9303,0.977498017446471,0.9203742742538452,0.001,1e-05,0.2,0.2,0,128,True,tcga_dino_vit
7,weights/clam/20240217074456554990,1,2,0.2853,0.4057,0.906,0.9619408369408369,0.5198,0.8905,0.954054321966693,0.5296547412872314,0.001,1e-05,0.2,0.2,0,128,True,tcga_dino_res
8,weights/clam/20240217074603015214,1,21,0.0868,0.5418,0.9128,0.9734848484848485,0.7154,0.8856,0.9530134813639968,0.9605699181556702,0.001,1e-05,0.2,0.2,0,128,True,tcga_barlow_res
9,weights/clam/20240217074602993639,1,18,0.2309,0.2845,0.8993,0.954004329004329,0.2477,0.8955,0.9629262490087231,0.5559453368186951,1e-05,1e-05,0.2,0.2,0,128,True,tcga_mocov3_res
10,weights/clam/20240217073844839975,1,3,0.1602,0.3077,0.9262,0.9648268398268398,0.3069,0.9104,0.9676843774781919,0.08233743906021118,0.0001,1e-05,0.2,0.2,0,128,True,tcga_barlow_res
11,weights/clam/20240217074456566777,1,1,0.7796,0.7912,0.8658,0.9168470418470419,0.8117,0.8905,0.9438937351308485,0.02058682031929493,0.001,1e-05,0.2,0.2,0,128,True,tcga_barlow_vit
12,weights/clam/20240217074213660411,1,7,0.1915,0.3993,0.906,0.9522005772005773,0.5732,0.8557,0.9214908802537669,0.18035221099853516,0.0001,1e-05,0.2,0.2,0,128,True,tcga_imagenet_vit
13,weights/clam/20240217074603097229,1,2,0.3125,0.2967,0.906,0.9673520923520923,0.3003,0.9005,0.9602498017446471,0.4768804907798767,0.001,1e-05,0.2,0.2,0,128,True,tcga_byol_res
14,weights/clam/20240217074213654661,1,32,0.5811,0.6041,0.6913,0.7445887445887446,0.7922,0.6816,0.7526764472640762,0.33417490124702454,0.0001,1e-05,0.2,0.2,0,128,True,tcga_byol_vit
15,weights/clam/20240217074603115391,1,66,0.055,1.0952,0.8792,0.9301948051948052,1.9282,0.7861,0.8714809674861221,0.9686219692230225,0.001,1e-05,0.2,0.2,0,128,True,tcga_imagenet_res
