,model,data_split,best_epoch,train_loss,val_loss,Val Accuracy,Val AUC,test_loss,Test Accuracy,Test AUC,Best thresholds,lr,weight_decay,dropout_patch,dropout_node,non_linearity,q_n,average,data
8,weights/dsmil/20240217071107621364,1,3,0.2152,0.2894,0.9396,0.97005772005772,0.3237,0.9104,0.958068992862807,0.489537995308638,0.001,1E-05,0.2,0.2,0,128,True,tcga_barlow_res
10,weights/dsmil/20240217070306083790,1,8,0.2291,0.4041,0.8926,0.957070707070707,0.3967,0.9055,0.956185567010309,0.610159084200859,0.0001,1E-05,0.2,0.2,0,128,True,tcga_barlow_res
5,weights/dsmil/20240217070306114417,1,5,0.3597,0.5017,0.8926,0.938852813852814,0.5003,0.8557,0.945975416336241,0.400375455617905,0.0001,1E-05,0.2,0.2,0,128,True,tcga_barlow_vit
11,weights/dsmil/20240217071107545735,1,4,0.2798,0.5564,0.8591,0.907828282828283,0.5839,0.806,0.911181601903251,0.629773810505867,0.001,1E-05,0.2,0.2,0,128,True,tcga_barlow_vit
13,weights/dsmil/20240217071107585820,1,3,0.3128,0.3706,0.9195,0.955808080808081,0.3899,0.8657,0.956780333068993,0.583865836262703,0.001,1E-05,0.2,0.2,0,128,True,tcga_byol_res
21,weights/dsmil/20240217071107591643,1,2,0.5258,0.4713,0.9128,0.964285714285714,0.4969,0.8756,0.94637192704203,0.548470556735992,0.0001,1E-05,0.2,0.2,0,128,True,tcga_byol_res
20,weights/dsmil/20240217071107624008,1,64,0.5766,0.7686,0.7584,0.821969696969697,0.7668,0.7164,0.763977002379064,0.460826009511948,0.001,1E-05,0.2,0.2,0,128,True,tcga_byol_vit
14,weights/dsmil/20240217071107629285,1,79,0.5873,0.6991,0.6913,0.665223665223665,0.6677,0.6468,0.672581284694687,0.50823375582695,0.0001,1E-05,0.2,0.2,0,128,True,tcga_byol_vit
24,weights/dsmil/20240217070306106212,1,4,0.318,0.4129,0.9195,0.937049062049062,0.41,0.8905,0.955987311657415,0.390632003545761,0.0001,1E-05,0.2,0.2,0,128,True,tcga_dino_res
18,weights/dsmil/20240217071117647528,1,15,0.4136,0.46,0.9128,0.947691197691198,0.4396,0.8756,0.954401268834259,0.442442819476128,1E-05,1E-05,0.2,0.2,0,128,True,tcga_dino_res
7,weights/dsmil/20240217071107552044,1,75,0.0267,0.6621,0.9128,0.9498556998557,0.6055,0.8806,0.952022204599524,0.280277550220489,0.001,1E-05,0.2,0.2,0,128,True,tcga_dino_res
