,model,data_split,best_epoch,train_loss,val_loss,Val Accuracy,Val AUC,test_loss,Test Accuracy,Test AUC,alpha,Best thresholds,lr,weight_decay,dropout_patch,dropout_node,non_linearity,q_n,average,data
0,weights/lnpmil/20240217064310783736,1,91,0.667,0.6681,0.8993,0.9440836940836941,0.6701,0.8657,0.9488501189532117,0.9527,0.5399048924446106,0.0001,1e-05,0.2,0.2,0,128,True,tcga_mocov3_vit
1,weights/lnpmil/20240217064559064262,1,93,0.6442,0.6605,0.7248,0.7711038961038962,0.6575,0.7562,0.8328707375099129,-3.9435,0.59950190782547,0.001,1e-05,0.2,0.2,0,128,True,tcga_mae_vit
2,weights/lnpmil/20240217064310781210,1,9,0.5435,0.5637,0.906,0.9226190476190477,0.5683,0.8458,0.9223830293417923,1.0511,0.6783337593078613,0.001,1e-05,0.2,0.2,0,128,True,tcga_mocov3_res
3,weights/lnpmil/20240222094830275724,1,87,0.5238,0.5413,0.8792,0.9175685425685426,0.539,0.8507,0.9261498810467882,0.8441,0.7178428173065186,0.0001,1e-05,0.2,0.2,0,128,True,tcga_simclr_res
4,weights/lnpmil/20240217064310781270,1,7,0.6271,0.6228,0.8658,0.9042207792207791,0.6173,0.8458,0.9156423473433783,1.0331,0.5786347389221191,0.0001,1e-05,0.2,0.2,0,128,True,tcga_mocov3_res
5,weights/lnpmil/20240217064310717016,1,59,0.5474,0.6162,0.8792,0.9190115440115441,0.6102,0.8607,0.931304520222046,0.6994,0.6603069305419922,0.0001,1e-05,0.2,0.2,0,128,True,tcga_barlow_vit
6,weights/lnpmil/20240217064310772044,1,11,0.5841,0.5993,0.8926,0.9455266955266954,0.6041,0.8557,0.9174266455194291,0.0412,0.6770185828208923,0.001,1e-05,0.2,0.2,0,128,True,tcga_dino_vit
7,weights/lnpmil/20240217064310806773,1,1,0.6383,0.5947,0.8658,0.9107142857142857,0.5921,0.8159,0.912866772402855,0.9386,0.6376079320907593,0.001,1e-05,0.2,0.2,0,128,True,tcga_dino_res
8,weights/lnpmil/20240217064559001853,1,1,0.6369,0.5808,0.8859,0.9271284271284271,0.5867,0.8507,0.9110824742268042,0.9688,0.619770884513855,0.001,1e-05,0.2,0.2,0,128,True,tcga_barlow_res
9,weights/lnpmil/20240217064558974136,1,92,0.6239,0.6216,0.8859,0.9213564213564214,0.6222,0.8308,0.9303132434575734,1.0172,0.5882743000984192,1e-05,1e-05,0.2,0.2,0,128,True,tcga_mocov3_res
10,weights/lnpmil/20240217064310767686,1,22,0.5503,0.5654,0.8658,0.9237012987012987,0.571,0.8159,0.9194091990483744,0.9886,0.7260105013847351,0.0001,1e-05,0.2,0.2,0,128,True,tcga_barlow_res
11,weights/lnpmil/20240217064310795144,1,38,0.558,0.6191,0.8993,0.9366883116883117,0.6237,0.8607,0.9343774781919112,-3.9927,0.7137033939361572,0.001,1e-05,0.2,0.2,0,128,True,tcga_barlow_vit
12,weights/lnpmil/20240217064310781287,1,32,0.651,0.6489,0.8456,0.8924963924963925,0.6605,0.7562,0.8632038065027755,0.6201,0.6522334814071655,0.0001,1e-05,0.2,0.2,0,128,True,tcga_imagenet_vit
13,weights/lnpmil/20240217064558957430,1,20,0.537,0.5572,0.8993,0.9310966810966812,0.5697,0.8358,0.9176249008723235,1.3606,0.6745525598526001,0.001,1e-05,0.2,0.2,0,128,True,tcga_byol_res
14,weights/lnpmil/20240217064310725243,1,70,0.667,0.6796,0.5839,0.6026334776334776,0.6836,0.5672,0.6314432989690721,1.0827,0.5604183077812195,0.0001,1e-05,0.2,0.2,0,128,True,tcga_byol_vit
15,weights/lnpmil/20240217064558934493,1,29,0.6668,0.6534,0.8054,0.8520923520923521,0.6602,0.7363,0.8258326724821571,-1.0405,0.6493374109268188,0.001,1e-05,0.2,0.2,0,128,True,tcga_imagenet_res
16,weights/lnpmil/20240217064558973630,1,99,0.6883,0.6884,0.8591,0.9137806637806638,0.6888,0.8408,0.8893735130848532,0.9391,0.5155788660049438,1e-05,1e-05,0.2,0.2,0,128,True,tcga_mocov3_vit
17,weights/lnpmil/20240217064310705179,1,23,0.5737,0.5939,0.8926,0.9330808080808082,0.5957,0.8557,0.9347739888977002,0.8828,0.6730543971061707,0.0001,1e-05,0.2,0.2,0,128,True,tcga_dino_vit
18,weights/lnpmil/20240217064559042058,1,45,0.5963,0.6012,0.8792,0.8971861471861473,0.606,0.8308,0.904639175257732,0.9822,0.6418354511260986,1e-05,1e-05,0.2,0.2,0,128,True,tcga_dino_res
19,weights/lnpmil/20240217064310767064,1,74,0.6511,0.6584,0.7785,0.8017676767676768,0.658,0.7363,0.8191911181601903,0.6654,0.6163727641105652,0.0001,1e-05,0.2,0.2,0,128,True,tcga_imagenet_res
20,weights/lnpmil/20240217064558984857,1,36,0.6856,0.7894,0.651,0.6650432900432902,0.7899,0.6517,0.7020222045995241,1.7082,0.7333633303642273,0.001,1e-05,0.2,0.2,0,128,True,tcga_byol_vit
21,weights/lnpmil/20240217064310779844,1,33,0.5855,0.5853,0.8993,0.9285714285714287,0.5902,0.8607,0.9293219666931006,1.2680,0.6006277203559875,0.0001,1e-05,0.2,0.2,0,128,True,tcga_byol_res
22,weights/lnpmil/20240217064310809481,1,14,0.6411,0.644,0.906,0.955988455988456,0.6483,0.8706,0.9497422680412371,1.2169,0.5530377626419067,0.001,1e-05,0.2,0.2,0,128,True,tcga_mocov3_vit
23,weights/lnpmil/20240217064558962061,1,89,0.6641,0.6824,0.5973,0.6084054834054834,0.7025,0.5672,0.5912965900079302,-1.9450,0.5976456999778748,0.001,1e-05,0.2,0.2,0,128,True,tcga_simclr_vit
24,weights/lnpmil/20240217064310787230,1,50,0.5478,0.5674,0.8725,0.8993506493506495,0.554,0.8507,0.9230769230769231,0.9150,0.6398940682411194,0.0001,1e-05,0.2,0.2,0,128,True,tcga_dino_res
25,weights/lnpmil/20240217064310808415,1,98,0.6779,0.681,0.6913,0.7137445887445887,0.6801,0.7164,0.7902458366375892,0.4690,0.540880560874939,0.0001,1e-05,0.2,0.2,0,128,True,tcga_mae_vit
26,weights/lnpmil/20240217064559016265,1,62,0.5954,0.6089,0.8993,0.939033189033189,0.6064,0.8458,0.9371530531324346,0.9672,0.645147442817688,1e-05,1e-05,0.2,0.2,0,128,True,tcga_dino_vit
27,weights/lnpmil/20240217064558962360,1,46,0.6718,0.6494,0.8523,0.8908730158730159,0.6653,0.7562,0.8528945281522602,-4.6932,0.6944838166236877,0.001,1e-05,0.2,0.2,0,128,True,tcga_imagenet_vit
28,weights/lnpmil/20240217064310784248,1,70,0.6788,0.6748,0.7181,0.7503607503607505,0.6845,0.6219,0.6746629659000793,0.7682,0.561970055103302,0.0001,1e-05,0.2,0.2,0,128,True,tcga_simclr_vit
29,weights/lnpmil/20240222094830271528,1,9,0.5418,0.5479,0.906,0.9393939393939394,0.5526,0.8706,0.922283901665345,0.4703,0.6950471997261047,0.001,1e-05,0.2,0.2,0,128,True,tcga_simclr_res
