,model,data_split,best_epoch,train_loss,val_loss,Val Accuracy,Val AUC,test_loss,Test Accuracy,Test AUC,Best thresholds,lr,weight_decay,dropout_patch,dropout_node,non_linearity,q_n,average,data
0,weights/maxmil/20240217063158205012,1,83,0.6418,0.6484,0.8389,0.8667027417027418,0.6419,0.8259,0.9020618556701032,0.5210978984832764,0.0001,1e-05,0.2,0.2,0,128,True,tcga_mocov3_vit
1,weights/maxmil/20240217063759404007,1,149,0.5099,0.5859,0.7651,0.7866161616161617,0.5737,0.7114,0.7932196669310071,0.5901842713356018,0.001,1e-05,0.2,0.2,0,128,True,tcga_mae_vit
2,weights/maxmil/20240217063540869448,1,19,0.2788,0.4463,0.8658,0.8910533910533912,0.3795,0.8408,0.9198057097541634,0.5975124835968018,0.001,1e-05,0.2,0.2,0,128,True,tcga_mocov3_res
3,weights/maxmil/20240222094830197111,1,75,0.2289,0.5242,0.8792,0.8885281385281385,0.3863,0.8706,0.9226804123711342,0.40974974632263184,0.0001,1e-05,0.2,0.2,0,128,True,tcga_simclr_res
4,weights/maxmil/20240217063158125222,1,96,0.2994,0.3808,0.8591,0.8919552669552671,0.3593,0.8358,0.9139571768437749,0.48785465955734253,0.0001,1e-05,0.2,0.2,0,128,True,tcga_mocov3_res
5,weights/maxmil/20240217063158164115,1,19,0.3003,0.6454,0.7651,0.7977994227994227,0.49,0.8159,0.8887787470261697,0.7272343635559082,0.0001,1e-05,0.2,0.2,0,128,True,tcga_barlow_vit
6,weights/maxmil/20240217063540932625,1,42,0.0816,0.4639,0.8859,0.9316378066378066,0.4123,0.8458,0.9304123711340206,0.44779473543167114,0.001,1e-05,0.2,0.2,0,128,True,tcga_dino_vit
7,weights/maxmil/20240217063540884842,1,58,0.2362,0.6364,0.8591,0.8966450216450216,0.6341,0.8408,0.8990880253766852,0.8639099597930908,0.001,1e-05,0.2,0.2,0,128,True,tcga_dino_res
8,weights/maxmil/20240217063627481163,1,2,0.3745,0.3907,0.8591,0.9168470418470418,0.4038,0.8209,0.9032513877874703,0.32822585105895996,0.001,1e-05,0.2,0.2,0,128,True,tcga_barlow_res
9,weights/maxmil/20240217063759379185,1,149,0.5094,0.5268,0.8456,0.8623737373737375,0.5164,0.8408,0.8868953211736718,0.5679503679275513,1e-05,1e-05,0.2,0.2,0,128,True,tcga_mocov3_res
10,weights/maxmil/20240217063158124749,1,32,0.2696,0.3613,0.8725,0.9101731601731601,0.341,0.8507,0.9262490087232356,0.375456303358078,0.0001,1e-05,0.2,0.2,0,128,True,tcga_barlow_res
11,weights/maxmil/20240217063540893235,1,69,0.0673,1.9928,0.7517,0.8201659451659451,1.533,0.7065,0.8604282315622521,0.9999006986618042,0.001,1e-05,0.2,0.2,0,128,True,tcga_barlow_vit
12,weights/maxmil/20240217063326115517,1,149,0.3931,0.518,0.7718,0.8239538239538239,0.6176,0.6468,0.746629659000793,0.3943667709827423,0.0001,1e-05,0.2,0.2,0,128,True,tcga_imagenet_vit
13,weights/maxmil/20240217063627488649,1,85,0.2348,0.3449,0.8993,0.9247835497835499,0.3906,0.8507,0.9111816019032515,0.5432289242744446,0.001,1e-05,0.2,0.2,0,128,True,tcga_byol_res
14,weights/maxmil/20240217063326090136,1,79,0.6264,0.6358,0.6779,0.6675685425685426,0.6576,0.6318,0.6580095162569389,0.6720395088195801,0.0001,1e-05,0.2,0.2,0,128,True,tcga_byol_vit
15,weights/maxmil/20240217063759403944,1,11,0.5447,0.6658,0.7718,0.8086219336219336,0.7702,0.6418,0.7038065027755749,0.2856047451496124,0.001,1e-05,0.2,0.2,0,128,True,tcga_imagenet_res
16,weights/maxmil/20240217063759415751,1,134,0.6839,0.6847,0.8591,0.8775252525252526,0.684,0.8308,0.901268834258525,0.5175026059150696,1e-05,1e-05,0.2,0.2,0,128,True,tcga_mocov3_vit
17,weights/maxmil/20240217063158175636,1,149,0.1506,0.3983,0.8591,0.9002525252525253,0.3291,0.8557,0.9301149881046789,0.6888375878334045,0.0001,1e-05,0.2,0.2,0,128,True,tcga_dino_vit
18,weights/maxmil/20240217063759336584,1,149,0.3568,0.4423,0.8389,0.851911976911977,0.4196,0.806,0.8750000000000001,0.6607349514961243,1e-05,1e-05,0.2,0.2,0,128,True,tcga_dino_res
19,weights/maxmil/20240217063326059309,1,63,0.5194,0.5752,0.745,0.7770562770562771,0.5489,0.7065,0.7905432196669311,0.4809476435184479,0.0001,1e-05,0.2,0.2,0,128,True,tcga_imagenet_res
20,weights/maxmil/20240217063627480293,1,36,0.6252,0.7639,0.6711,0.672979797979798,0.7723,0.6617,0.6897303727200634,0.7587118744850159,0.001,1e-05,0.2,0.2,0,128,True,tcga_byol_vit
21,weights/maxmil/20240217063326140648,1,137,0.3315,0.3853,0.8456,0.8912337662337662,0.3903,0.8259,0.8936360031720856,0.5331817865371704,0.0001,1e-05,0.2,0.2,0,128,True,tcga_byol_res
22,weights/maxmil/20240217063540900530,1,120,0.3548,0.4133,0.8658,0.8834776334776335,0.3906,0.8458,0.9231760507533703,0.5097810626029968,0.001,1e-05,0.2,0.2,0,128,True,tcga_mocov3_vit
23,weights/maxmil/20240217063627504358,1,52,0.6144,0.9132,0.6174,0.6154401154401155,0.8745,0.6368,0.6528548770816812,0.7800642251968384,0.001,1e-05,0.2,0.2,0,128,True,tcga_simclr_vit
24,weights/maxmil/20240217063158123425,1,130,0.2847,0.5214,0.8523,0.8717532467532466,0.4473,0.8308,0.9011697065820778,0.6510053873062134,0.0001,1e-05,0.2,0.2,0,128,True,tcga_dino_res
25,weights/maxmil/20240217063540892388,1,22,0.6831,0.6835,0.745,0.7629870129870131,0.6838,0.6915,0.7648691514670897,0.5181894898414612,0.0001,1e-05,0.2,0.2,0,128,True,tcga_mae_vit
26,weights/maxmil/20240217063759370175,1,148,0.3592,0.435,0.8725,0.8805916305916306,0.4177,0.8308,0.9156423473433783,0.5825541615486145,1e-05,1e-05,0.2,0.2,0,128,True,tcga_dino_vit
27,weights/maxmil/20240217063627467297,1,15,0.3741,0.5024,0.8255,0.8589466089466089,0.5896,0.7512,0.8069984139571769,0.6747477054595947,0.001,1e-05,0.2,0.2,0,128,True,tcga_imagenet_vit
28,weights/maxmil/20240217063326146595,1,32,0.6825,0.7009,0.5772,0.5461760461760462,0.7115,0.5373,0.5174464710547184,0.5756143927574158,0.0001,1e-05,0.2,0.2,0,128,True,tcga_simclr_vit
29,weights/maxmil/20240222094830196995,1,118,0.2621,0.8253,0.8725,0.9044011544011544,0.6322,0.8657,0.92753766851705,0.8446342945098877,0.001,1e-05,0.2,0.2,0,128,True,tcga_simclr_res
