,model,data_split,best_epoch,train_loss,val_loss,Val Accuracy,Val AUC,test_loss,Test Accuracy,Test AUC,Best thresholds,lr,weight_decay,dropout_patch,dropout_node,non_linearity,q_n,average,data
0,weights/meanmil/20240217060108170312,1,73,0.6646,0.6665,0.906,0.9451659451659452,0.6683,0.8756,0.9383425852498017,0.51641845703125,0.0001,1e-05,0.2,0.2,0,128,True,tcga_mocov3_vit
1,weights/meanmil/20240217063248279501,1,98,0.5631,0.6106,0.7248,0.7460317460317459,0.5743,0.7313,0.8125495638382236,0.44937601685523987,0.001,1e-05,0.2,0.2,0,128,True,tcga_mae_vit
2,weights/meanmil/20240217060441956449,1,73,0.2215,0.4052,0.9128,0.9457070707070707,0.3104,0.9104,0.9532117367168914,0.4497019052505493,0.001,1e-05,0.2,0.2,0,128,True,tcga_mocov3_res
3,weights/meanmil/20240222094830197250,1,93,0.2047,0.3138,0.8926,0.9505772005772006,0.2735,0.8955,0.9529143536875495,0.4380101263523102,0.0001,1e-05,0.2,0.2,0,128,True,tcga_simclr_res
4,weights/meanmil/20240217060108193081,1,81,0.3372,0.353,0.8725,0.9312770562770564,0.336,0.8657,0.9367565424266455,0.39595404267311096,0.0001,1e-05,0.2,0.2,0,128,True,tcga_mocov3_res
5,weights/meanmil/20240217060108216823,1,73,0.1967,0.379,0.8591,0.939033189033189,0.385,0.8657,0.9359635210150674,0.37307634949684143,0.0001,1e-05,0.2,0.2,0,128,True,tcga_barlow_vit
6,weights/meanmil/20240217060441990665,1,24,0.0975,0.3254,0.9195,0.9577922077922079,0.227,0.8955,0.9739294210943695,0.31747567653656006,0.001,1e-05,0.2,0.2,0,128,True,tcga_dino_vit
7,weights/meanmil/20240217060441949109,1,76,0.253,0.4766,0.9128,0.9413780663780664,0.4299,0.8955,0.9431007137192705,0.31582075357437134,0.001,1e-05,0.2,0.2,0,128,True,tcga_dino_res
8,weights/meanmil/20240217062609099515,1,42,0.1844,0.3158,0.9195,0.959054834054834,0.3179,0.9005,0.9555908009516256,0.5027636289596558,0.001,1e-05,0.2,0.2,0,128,True,tcga_barlow_res
9,weights/meanmil/20240217063248203048,1,99,0.5746,0.5763,0.8859,0.9218975468975469,0.567,0.8458,0.9144528152260111,0.5188336968421936,1e-05,1e-05,0.2,0.2,0,128,True,tcga_mocov3_res
10,weights/meanmil/20240217060108160379,1,99,0.2289,0.2697,0.906,0.9525613275613276,0.2799,0.8905,0.9509318001586042,0.3130261301994324,0.0001,1e-05,0.2,0.2,0,128,True,tcga_barlow_res
11,weights/meanmil/20240217060441965373,1,64,0.0521,0.4393,0.8926,0.9458874458874459,0.5046,0.8657,0.9390364789849326,0.2720303535461426,0.001,1e-05,0.2,0.2,0,128,True,tcga_barlow_vit
12,weights/meanmil/20240217060116839506,1,66,0.3658,0.3954,0.8456,0.9049422799422799,0.4219,0.8159,0.8917525773195876,0.5209864377975464,0.0001,1e-05,0.2,0.2,0,128,True,tcga_imagenet_vit
13,weights/meanmil/20240217062609165176,1,69,0.2285,0.2922,0.8993,0.9455266955266955,0.2892,0.8607,0.9480570975416335,0.6448546051979065,0.001,1e-05,0.2,0.2,0,128,True,tcga_byol_res
14,weights/meanmil/20240217060116856183,1,90,0.6693,0.6849,0.6242,0.6286075036075035,0.6895,0.6119,0.6611816019032514,0.4728841781616211,0.0001,1e-05,0.2,0.2,0,128,True,tcga_byol_vit
15,weights/meanmil/20240217063248265860,1,73,0.3664,0.4441,0.8389,0.8876262626262625,0.4413,0.7861,0.8835249801744647,0.690907895565033,0.001,1e-05,0.2,0.2,0,128,True,tcga_imagenet_res
16,weights/meanmil/20240217063248180820,1,99,0.6882,0.6886,0.8591,0.9107142857142857,0.6887,0.8358,0.8985923869944489,0.5138435959815979,1e-05,1e-05,0.2,0.2,0,128,True,tcga_mocov3_vit
17,weights/meanmil/20240217060108184268,1,93,0.1644,0.2805,0.9128,0.9505772005772005,0.2341,0.8905,0.9667922283901665,0.4806375801563263,0.0001,1e-05,0.2,0.2,0,128,True,tcga_dino_vit
