,model,data_split,best_epoch,train_loss,val_loss,Val Accuracy,Val AUC,test_loss,Test Accuracy,Test AUC,alpha,Best thresholds,lr,weight_decay,dropout_patch,dropout_node,non_linearity,q_n,average,data
0,weights/mixmil/20240217063852143815,1,30,0.6774,0.6785,0.8523,0.8927669552669553,0.6773,0.8806,0.9347739888977002,1.0920,0.5193920135498047,0.0001,1e-05,0.2,0.2,0,128,True,tcga_mocov3_vit
1,weights/mixmil/20240217064113899495,1,88,0.5722,0.6086,0.7584,0.7682178932178932,0.6064,0.7114,0.7760705789056305,1.5900,0.5150848031044006,0.001,1e-05,0.2,0.2,0,128,True,tcga_mae_vit
2,weights/mixmil/20240217064114502318,1,84,0.244,0.4927,0.8658,0.9197330447330447,0.384,0.8657,0.9385408406026963,1.8209,0.1966685950756073,0.001,1e-05,0.2,0.2,0,128,True,tcga_mocov3_res
3,weights/mixmil/20240222094830227536,1,99,0.2206,0.3953,0.8792,0.9264069264069263,0.3233,0.8756,0.9425059476605868,1.1021,0.16913415491580963,0.0001,1e-05,0.2,0.2,0,128,True,tcga_simclr_res
4,weights/mixmil/20240217063852190592,1,80,0.3103,0.3779,0.8658,0.8966450216450217,0.3494,0.8507,0.9228786677240286,1.2611,0.46953052282333374,0.0001,1e-05,0.2,0.2,0,128,True,tcga_mocov3_res
5,weights/mixmil/20240217063852239769,1,42,0.2268,0.565,0.7852,0.8338744588744588,0.4752,0.791,0.8778747026169706,1.1734,0.5257889032363892,0.0001,1e-05,0.2,0.2,0,128,True,tcga_barlow_vit
6,weights/mixmil/20240217064114477494,1,42,0.0652,0.3928,0.906,0.9431818181818181,0.3275,0.8905,0.952319587628866,1.0009,0.7842192053794861,0.001,1e-05,0.2,0.2,0,128,True,tcga_dino_vit
7,weights/mixmil/20240217064114490041,1,81,0.2444,0.6409,0.8658,0.9110750360750361,0.506,0.8408,0.927934179222839,1.3715,0.8904324173927307,0.001,1e-05,0.2,0.2,0,128,True,tcga_dino_res
8,weights/mixmil/20240217064113841902,1,46,0.1576,0.4929,0.8859,0.9363275613275613,0.4415,0.8607,0.9337827121332276,1.4784,0.06768936663866043,0.001,1e-05,0.2,0.2,0,128,True,tcga_barlow_res
9,weights/mixmil/20240217064113889832,1,93,0.5518,0.5611,0.8591,0.904040404040404,0.5553,0.8109,0.9226804123711341,1.0363,0.5367560386657715,1e-05,1e-05,0.2,0.2,0,128,True,tcga_mocov3_res
10,weights/mixmil/20240217063852240202,1,37,0.25,0.3541,0.8658,0.9195526695526697,0.3374,0.8408,0.9274385408406026,1.1587,0.4829725921154022,0.0001,1e-05,0.2,0.2,0,128,True,tcga_barlow_res
11,weights/mixmil/20240217064114516052,1,81,0.0507,1.3777,0.7785,0.8455988455988456,0.9831,0.7463,0.8745043616177637,1.8129,0.9979901313781738,0.001,1e-05,0.2,0.2,0,128,True,tcga_barlow_vit
12,weights/mixmil/20240217064118917802,1,84,0.4297,0.4727,0.7987,0.8594877344877345,0.535,0.7264,0.8089809674861221,0.8503,0.45424726605415344,0.0001,1e-05,0.2,0.2,0,128,True,tcga_imagenet_vit
13,weights/mixmil/20240217064113823392,1,96,0.233,0.3364,0.8993,0.923881673881674,0.3768,0.8408,0.9158406026962729,2.1266,0.5796346068382263,0.001,1e-05,0.2,0.2,0,128,True,tcga_byol_res
14,weights/mixmil/20240217064116205788,1,99,0.6352,0.649,0.651,0.65007215007215,0.6603,0.5721,0.6421490880253766,1.2627,0.5140198469161987,0.0001,1e-05,0.2,0.2,0,128,True,tcga_byol_vit
15,weights/mixmil/20240217064113899573,1,68,0.3639,0.5927,0.7718,0.8151154401154401,0.5405,0.7114,0.8303925455987312,0.8090,0.7624432444572449,0.001,1e-05,0.2,0.2,0,128,True,tcga_imagenet_res
16,weights/mixmil/20240217064113899391,1,96,0.6869,0.6872,0.8591,0.8706709956709957,0.6874,0.8209,0.8786677240285489,1.0372,0.5162397027015686,1e-05,1e-05,0.2,0.2,0,128,True,tcga_mocov3_vit
17,weights/mixmil/20240217063852173612,1,84,0.1718,0.3348,0.8792,0.9278499278499278,0.296,0.8657,0.944091990483743,0.9935,0.5302219390869141,0.0001,1e-05,0.2,0.2,0,128,True,tcga_dino_vit
18,weights/mixmil/20240217064113939948,1,54,0.4651,0.4766,0.8658,0.8939393939393939,0.4874,0.8458,0.8782712133227597,0.9782,0.5360875129699707,1e-05,1e-05,0.2,0.2,0,128,True,tcga_dino_res
19,weights/mixmil/20240217064118852960,1,92,0.4998,0.5769,0.745,0.7725468975468976,0.5391,0.7114,0.8047184773988898,0.9928,0.5135219693183899,0.0001,1e-05,0.2,0.2,0,128,True,tcga_imagenet_res
20,weights/mixmil/20240217064113808317,1,20,0.6528,0.7508,0.6779,0.6910173160173161,0.7733,0.6368,0.6843774781919112,1.9390,0.8230648636817932,0.001,1e-05,0.2,0.2,0,128,True,tcga_byol_vit
21,weights/mixmil/20240217064116223702,1,92,0.3738,0.4101,0.8591,0.8906926406926406,0.4195,0.806,0.9028548770816811,1.5283,0.5633922219276428,0.0001,1e-05,0.2,0.2,0,128,True,tcga_byol_res
22,weights/mixmil/20240217064114498326,1,60,0.4257,0.4631,0.8725,0.8843795093795094,0.4395,0.8507,0.9234734337827122,5.7714,0.5123308897018433,0.001,1e-05,0.2,0.2,0,128,True,tcga_mocov3_vit
23,weights/mixmil/20240217064113799173,1,10,0.6947,0.7239,0.651,0.6726190476190476,0.7391,0.602,0.6439333862014274,1.0739,0.6832730174064636,0.001,1e-05,0.2,0.2,0,128,True,tcga_simclr_vit
24,weights/mixmil/20240217063852180413,1,90,0.2726,0.4502,0.8523,0.8879870129870131,0.3802,0.8458,0.9166336241078509,1.0955,0.5648423433303833,0.0001,1e-05,0.2,0.2,0,128,True,tcga_dino_res
25,weights/mixmil/20240217064114500991,1,76,0.6694,0.6738,0.7315,0.7554112554112554,0.6742,0.6965,0.7681403647898493,1.1836,0.5182358026504517,0.0001,1e-05,0.2,0.2,0,128,True,tcga_mae_vit
26,weights/mixmil/20240217064113892734,1,99,0.4256,0.5031,0.8523,0.8562409812409812,0.458,0.8408,0.9191118160190326,0.9669,0.5373602509498596,1e-05,1e-05,0.2,0.2,0,128,True,tcga_dino_vit
27,weights/mixmil/20240217064113825488,1,19,0.3364,0.4605,0.8054,0.8845598845598845,0.5711,0.7761,0.8482355273592387,0.7248,0.5712761878967285,0.001,1e-05,0.2,0.2,0,128,True,tcga_imagenet_vit
28,weights/mixmil/20240217064116205122,1,63,0.6715,0.6813,0.5973,0.6033549783549784,0.689,0.5771,0.5957573354480571,1.0384,0.5236396193504333,0.0001,1e-05,0.2,0.2,0,128,True,tcga_simclr_vit
29,weights/mixmil/20240222094830197115,1,20,0.2066,0.4168,0.8993,0.9433621933621934,0.3842,0.8905,0.9497422680412371,1.1714,0.5933172702789307,0.001,1e-05,0.2,0.2,0,128,True,tcga_simclr_res
