,model,data_split,best_epoch,train_loss,val_loss,Val Accuracy,Val AUC,test_loss,Test Accuracy,Test AUC,Best thresholds,lr,weight_decay,dropout_patch,dropout_node,non_linearity,q_n,average,data
0,weights/transmil/20240217073305005136,1,13,0.0787,0.2541,0.9396,0.9745670995670996,0.2815,0.9055,0.9698651863600317,0.3268800973892212,0.0001,1e-05,0.2,0.2,0,128,True,tcga_mocov3_vit
1,weights/transmil/20240217073844853784,1,19,0.231,0.3971,0.8792,0.9444444444444444,0.4064,0.8507,0.9271411578112609,0.5048952698707581,0.001,1e-05,0.2,0.2,0,128,True,tcga_mae_vit
2,weights/transmil/20240217073607428493,1,4,0.1185,0.3342,0.906,0.966991341991342,0.2951,0.9154,0.965107057890563,0.9380888342857361,0.001,1e-05,0.2,0.2,0,128,True,tcga_mocov3_res
3,weights/transmil/20240222152012461299,1,3,0.1269,0.2717,0.9262,0.9774531024531025,0.3472,0.8955,0.9630253766851705,0.19140559434890747,0.0001,1e-05,0.2,0.2,0,128,True,tcga_simclr_res
4,weights/transmil/20240217073305031329,1,3,0.1419,0.3017,0.9262,0.9758297258297258,0.3318,0.8905,0.9659000793021412,0.5576009750366211,0.0001,1e-05,0.2,0.2,0,128,True,tcga_mocov3_res
5,weights/transmil/20240217073304972582,1,3,0.1894,0.3005,0.906,0.9471500721500722,0.3217,0.8607,0.9439928628072958,0.4586202800273895,0.0001,1e-05,0.2,0.2,0,128,True,tcga_barlow_vit
6,weights/transmil/20240217073607440256,1,12,0.0396,0.2224,0.9396,0.983946608946609,0.3662,0.9254,0.9605471847739888,0.5277215242385864,0.001,1e-05,0.2,0.2,0,128,True,tcga_dino_vit
7,weights/transmil/20240217073607414491,1,4,0.1096,0.549,0.9195,0.9660894660894661,0.5448,0.9055,0.9547977795400475,0.00589176407083869,0.001,1e-05,0.2,0.2,0,128,True,tcga_dino_res
8,weights/transmil/20240217073844839770,1,17,0.0214,0.2907,0.953,0.9783549783549783,0.4052,0.9104,0.9710547184773989,0.10850854218006134,0.001,1e-05,0.2,0.2,0,128,True,tcga_barlow_res
9,weights/transmil/20240217073844807895,1,6,0.0334,0.3258,0.9396,0.976010101010101,0.5312,0.9055,0.9592585249801745,0.2426777482032776,1e-05,1e-05,0.2,0.2,0,128,True,tcga_mocov3_res
